,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAZQ11,INDEFINIDO,,"732.823,07","0,97",,"1,28 %",,,,,,,,"0,21 %",,,"232.223.426,84",,,,,,,,,18.095,,,
3,ABCP11,SHOPPINGS,,"69.564,14","0,74",,"0,89 %",,,,,,,,"-5,59 %",,,"432.661.319,21",,,,,,,,,17.747,,,
4,AFHI11,PAPÉIS,,"1.080.325,68","1,02",,"1,07 %",,,,,,,,"0,37 %",,,"320.377.772,86",,,,,,,,,23.891,,,
5,AGRX11,OUTROS,,"173.241,39",N/A,,"1,40 %",,,,,,,,"-1,29 %",,,N/A,,,,,,,,,0,,,
6,AIEC11,LAJES CORPORATIVAS,,"733.928,93","0,66",,"1,16 %",,,,,,,,"-3,64 %",,,"457.867.865,93",,,,,,,,,15.900,,,
7,ALMI11,LAJES CORPORATIVAS,,"33.297,89","0,36",,"0,00 %",,,,,,,,"0,00 %",,,"226.098.370,52",,,,,,,,,2.338,,,
8,ALZM11,FUNDO DE FUNDOS,,"256.659,79","0,99",,"0,85 %",,,,,,,,"0,74 %",,,"63.313.566,97",,,,,,,,,3.856,,,
9,ALZR11,MISTO,,"2.136.852,64","1,09",,"0,71 %",,,,,,,,"0,14 %",,,"1.047.620.740,62",,,,,,,,,142.847,,,
10,APTO11,IMÓVEIS RESIDENCIAIS,,"44.027,64","0,95",,"1,01 %",,,,,,,,"0,30 %",,,"41.636.073,96",,,,,,,,,9.598,,,
11,APXM11,SHOPPINGS,,"262.994,22","1,05",,"0,39 %",,,,,,,,"0,00 %",,,"167.099.461,36",,,,,,,,,271,,,
12,ARCT11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"1.053.903,45","0,87",,"0,00 %",,,,,,,,"0,00 %",,,"371.534.654,03",,,,,,,,,43.228,,,
13,AROA11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"176.461.041,43",,,,,,,,,51,,,
