IBXL - Carteira do Dia 07/08/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,454;
ABEV3;AMBEV S/A;ON;4.386.652.506;3,406;
ASAI3;ASSAI;ON      NM;1.190.824.431;0,860;
AZUL4;AZUL;PN      N2;327.646.296;0,298;
B3SA3;B3;ON      NM;5.733.398.051;4,451;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,117;
BBDC4;BRADESCO;PN  EJ  N1;5.146.612.491;4,197;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,555;
BRFS3;BRF SA;ON      NM;1.676.512.610;0,909;
BPAC11;BTGP BANCO;UNT EJ  N2;1.225.470.424;2,109;
CCRO3;CCR SA;ON      NM;998.462.635;0,688;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,927;
CIEL3;CIELO;ON      NM;1.095.401.258;0,241;
CSAN3;COSAN;ON      NM;1.171.063.698;1,218;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,361;
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,880;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,598;
EMBR3;EMBRAER;ON  ATZ NM;734.632.205;0,679;
ENEV3;ENEVA;ON      NM;1.577.877.205;1,084;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,921;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,620;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,785;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;1,086;
HYPE3;HYPERA;ON      NM;400.842.480;0,943;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,696;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;7,066;
JBSS3;JBS;ON      NM;1.134.986.483;1,191;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,862;
RENT3;LOCALIZA;ON      NM;841.062.110;2,975;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,985;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,464;
MRFG3;MARFRIG;ON      NM;292.587.273;0,124;
BEEF3;MINERVA;ON      NM;260.340.982;0,147;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,389;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,424;
PETR4;PETROBRAS;PN      N2;4.566.511.125;7,231;
PRIO3;PETRORIO;ON      NM;839.159.130;2,107;
PETZ3;PETZ;ON      NM;335.865.260;0,124;
RADL3;RAIADROGASIL;ON      NM;1.243.912.161;1,828;
RDOR3;REDE D OR;ON      NM;1.095.177.074;2,017;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,489;
SBSP3;SABESP;ON      NM;340.002.999;0,956;
CSNA3;SID NACIONAL;ON;589.695.175;0,402;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,928;
TOTS3;TOTVS;ON  EJ  NM;513.869.896;0,795;
USIM5;USIMINAS;PNA     N1;515.014.562;0,193;
VALE3;VALE;ON      NM;4.448.529.763;15,863;
VIIA3;VIA;ON      NM;1.576.975.642;0,156;
VBBR3;VIBRA;ON      NM;1.114.442.976;1,006;
WEGE3;WEG;ON      NM;1.481.593.024;3,195;
Quantidade Teórica Total;;;81.037.605.145;100,000
Redutor;;;96.123.338,51130037
