IBXX - Carteira do Dia 07/08/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,391;
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,584;
ALPA4;ALPARGATAS;PN      N1;201.952.502;0,083;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,928;
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,228;
ASAI3;ASSAI;ON      NM;1.190.824.431;0,740;
AURE3;AUREN;ON      NM;301.966.318;0,190;
AZUL4;AZUL;PN      N2;327.646.296;0,256;
B3SA3;B3;ON      NM;5.733.398.051;3,826;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,960;
BBDC3;BRADESCO;ON  EJ  N1;1.500.631.902;0,951;
BBDC4;BRADESCO;PN  EJ  N1;5.146.612.491;3,608;
BRAP4;BRADESPAR;PN      N1;251.008.334;0,265;
BBAS3;BRASIL;ON      NM;1.420.731.069;3,055;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,285;
BRFS3;BRF SA;ON      NM;1.676.512.610;0,781;
BPAC11;BTGP BANCO;UNT EJ  N2;1.225.470.424;1,813;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,288;
CBAV3;CBA;ON      NM;191.350.000;0,045;
CCRO3;CCR SA;ON      NM;998.462.635;0,591;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,797;
CIEL3;CIELO;ON      NM;1.095.401.258;0,207;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,275;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,609;
CSAN3;COSAN;ON      NM;1.171.063.698;1,047;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,300;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,212;
CVCB3;CVC BRASIL;ON      NM;442.634.342;0,061;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,311;
DXCO3;DEXCO;ON      NM;274.863.424;0,116;
DIRR3;DIRECIONAL;ON      NM;106.395.895;0,106;
ECOR3;ECORODOVIAS;ON      NM;310.103.685;0,115;
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,335;
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,514;
EMBR3;EMBRAER;ON  ATZ NM;734.632.205;0,583;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,552;
ENEV3;ENEVA;ON      NM;1.577.877.205;0,932;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,503;
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,652;
EZTC3;EZTEC;ON      NM;94.318.339;0,099;
FLRY3;FLEURY;ON      NM;422.811.447;0,306;
GGBR4;GERDAU;PN      N1;1.093.112.629;1,392;
GOAU4;GERDAU MET;PN      N1;667.194.478;0,407;
GOLL4;GOL;PN      N2;218.221.868;0,094;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,166;
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,675;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,253;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,934;
HYPE3;HYPERA;ON      NM;400.842.480;0,811;
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,219;
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,150;
ITSA4;ITAUSA;PN      N1;5.233.076.295;2,317;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;6,074;
JBSS3;JBS;ON      NM;1.134.986.483;1,024;
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,741;
RENT3;LOCALIZA;ON      NM;841.062.110;2,558;
LWSA3;LOCAWEB;ON      NM;430.758.874;0,139;
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,846;
MDIA3;M.DIASBRANCO;ON      NM;69.291.942;0,135;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,399;
MRFG3;MARFRIG;ON      NM;292.587.273;0,107;
CASH3;MELIUZ;ON      NM;69.155.277;0,030;
BEEF3;MINERVA;ON      NM;260.340.982;0,126;
MOVI3;MOVIDA;ON      NM;131.875.326;0,073;
MRVE3;MRV;ON      NM;383.509.465;0,242;
MULT3;MULTIPLAN;ON      N2;266.933.994;0,334;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,146;
PETR3;PETROBRAS;ON      N2;3.701.760.571;5,522;
PETR4;PETROBRAS;PN      N2;4.566.511.125;6,216;
RECV3;PETRORECSA;ON      NM;276.798.795;0,289;
PRIO3;PETRORIO;ON      NM;839.159.130;1,811;
PETZ3;PETZ;ON      NM;335.865.260;0,107;
PSSA3;PORTO SEGURO;ON      NM;179.759.767;0,226;
QUAL3;QUALICORP;ON      NM;277.896.899;0,056;
RADL3;RAIADROGASIL;ON      NM;1.243.912.161;1,572;
RAIZ4;RAIZEN;PN  ED  N2;1.200.488.532;0,222;
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,734;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,280;
SBSP3;SABESP;ON      NM;340.002.999;0,822;
SANB11;SANTANDER BR;UNT;355.642.848;0,449;
STBP3;SANTOS BRP;ON      NM;858.685.799;0,385;
SMTO3;SAO MARTINHO;ON  ED  NM;143.294.210;0,215;
CSNA3;SID NACIONAL;ON;589.695.175;0,345;
SIMH3;SIMPAR;ON      NM;226.890.081;0,113;
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,216;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,658;
TAEE11;TAESA;UNT     N2;218.568.234;0,362;
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,819;
TIMS3;TIM;ON      NM;808.436.195;0,532;
TOTS3;TOTVS;ON  EJ  NM;513.869.896;0,683;
TRPL4;TRAN PAULIST;PN      N1;395.794.140;0,459;
