IDIV - Carteira do Dia 07/08/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;114.105.244;0,467;
ALUP11;ALUPAR;UNT     N2;236.991.795;1,449;
B3SA3;B3;ON      NM;1.041.121.831;3,213;
BRSR6;BANRISUL;PNB     N1;329.547.255;0,982;
BBSE3;BBSEGURIDADE;ON      NM;474.778.215;3,139;
BRAP4;BRADESPAR;PN      N1;408.417.134;1,993;
BBAS3;BRASIL;ON      NM;454.315.169;4,518;
AGRO3;BRASILAGRO;ON      NM;96.345.081;0,533;
CMIG3;CEMIG;ON      N1;587.008.371;2,335;
CMIG4;CEMIG;PN      N1;1.872.675.953;4,785;
CSMG3;COPASA;ON      NM;306.659.352;1,159;
CPLE6;COPEL;PNB     N2;2.543.761.198;4,579;
CPFE3;CPFL ENERGIA;ON      NM;305.460.715;2,257;
CMIN3;CSNMINERACAO;ON      N2;1.806.983.398;1,596;
CURY3;CURY S/A;ON      NM;195.726.721;0,717;
DIRR3;DIRECIONAL;ON      NM;173.117.384;0,797;
ENAT3;ENAUTA PART;ON      NM;125.834.095;0,372;
EGIE3;ENGIE BRASIL;ON      NM;342.858.131;3,126;
FESA4;FERBASA;PN      N1;65.889.815;0,707;
GGBR4;GERDAU;PN      N1;1.246.214.510;7,339;
GOAU4;GERDAU MET;PN      N1;1.085.596.054;3,063;
MYPK3;IOCHP-MAXION;ON      NM;213.585.142;0,657;
RANI3;IRANI;ON      NM;166.093.446;0,374;
ITSA4;ITAUSA;PN      N1;1.458.391.264;2,986;
JBSS3;JBS;ON      NM;1.064.607.653;4,441;
JHSF3;JHSF PART;ON  ED  NM;486.536.108;0,591;
KEPL3;KEPLER WEBER;ON      NM;290.658.389;0,611;
LAVV3;LAVVI;ON      NM;120.161.978;0,222;
MRFG3;MARFRIG;ON      NM;476.070.470;0,802;
BEEF3;MINERVA;ON      NM;423.602.341;0,951;
PETR3;PETROBRAS;ON      N2;724.055.540;4,995;
PETR4;PETROBRAS;PN      N2;840.133.883;5,288;
PSSA3;PORTO SEGURO;ON      NM;292.488.172;1,700;
RAPT4;RANDON PART;PN      N1;289.205.320;0,756;
ROMI3;ROMI;ON      NM;73.369.157;0,218;
SANB11;SANTANDER BR;UNT;529.768.945;3,092;
CSNA3;SID NACIONAL;ON;924.681.733;2,507;
TAEE11;TAESA;UNT     N2;355.633.657;2,723;
VIVT3;TELEF BRASIL;ON  EJ;499.188.071;4,468;
TRPL4;TRAN PAULIST;PN      N1;643.998.970;3,452;
TRIS3;TRISUL;ON      NM;116.095.299;0,157;
UNIP6;UNIPAR;PNB;74.508.411;1,277;
USIM5;USIMINAS;PNA     N1;837.983.219;1,246;
VALE3;VALE;ON      NM;300.815.504;4,264;
VBBR3;VIBRA;ON      NM;862.383.455;3,096;
Quantidade Teórica Total;;;25.877.423.548;100,000
Redutor;;;59.893.321,92708283
