Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
AAGR11,Indefinido,115.06,20655.76,N/A,1.36,1.14,1.14,5.39,14.05,0.38,0.9,1.17,4.03,33.34,34.86,35.26,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0,6499.95,0,N/A,N/A,N/A
AAZQ11,Indefinido,6.83,382254.19,0.8,0.08,1.14,3.55,7.5,16.99,1.18,1.25,1.42,9.12,-9.83,-8.8,5.41,"206.934.777,00",8.61,0.79,1.22,0.0,0.0,0.0,0,1820.59,30949,N/A,10.0,1.2
ABCP11,Shoppings,74.2,64922.24,0.66,0.65,0.78,2.45,4.59,9.76,0.82,0.77,0.81,1.59,4.02,4.83,12.5,"521.976.248,89",110.81,0.67,0.59,20.68,21.39,30.03,1,2499.75,13433,N/A,N/A,0.1
AFHI11,Papéis,95.24,668290.24,1.0,1.01,1.05,3.17,6.53,13.6,1.06,1.09,1.13,1.05,0.9,1.96,1.96,"456.555.370,03",95.08,1.0,1.06,0.12,1.18,7.52,14,588.73,38646,N/A,N/A,1.0
AGRX11,Indefinido,8.35,197361.62,0.8,0.12,1.41,4.21,8.6,18.39,1.4,1.43,1.53,10.07,1.92,3.36,26.28,"185.862.251,96",10.38,0.8,1.16,0.0,0.0,0.0,0,1548.89,19643,N/A,10.0,1.0
AIEC11,Lajes Corporativas,56.7,297833.62,0.75,0.34,0.63,1.92,3.94,8.36,0.64,0.66,0.7,1.27,1.92,2.57,3.85,"366.755.058,46",75.96,0.75,0.45,-18.77,-18.4,-17.46,2,1454.47,11513,N/A,20.0,0.75
AJFI11,Shoppings,8.05,142969.43,0.74,0.06,0.68,1.89,3.76,7.97,0.63,0.63,0.66,3.76,1.56,2.25,16.61,"371.925.482,96",N/A,N/A,N/A,N/A,N/A,N/A,12,952.23,9532,0.6,N/A,0.1
ALMI11,Lajes Corporativas,632.99,9982.3,0.31,4.53,0.72,2.24,3.67,6.5,0.75,0.61,0.54,1.53,6.22,6.98,-5.73,"227.267.303,51",2046.78,0.31,0.0,-0.05,-0.05,0.9,1,11339.34,1843,N/A,N/A,0.38
ALZC11,Papéis,7.39,230204.19,0.8,0.11,1.38,3.91,8.03,16.6,1.3,1.34,1.38,1.38,-0.64,0.73,0.73,"183.000.003,55",N/A,N/A,N/A,N/A,N/A,N/A,14,1404.08,10920,N/A,20.0,1.3
ALZR11,Misto,10.02,2863587.86,0.94,0.08,0.84,2.44,4.86,10.07,0.81,0.81,0.84,4.86,-5.26,-4.46,1.48,"1.755.504.582,43",10.67,0.94,0.78,-90.02,-89.94,-89.13,21,859.91,201297,0.7,N/A,0.25
