Date,AAPL,MSFT,AMZN,GOOG,KO,JNJ,PG,DIS,WMT,XOM
01-12-19,292.954712,157.270432,1847.839966,1337.02002,55.349998,145.869995,124.162331,143.768646,118.309326,68.792389
01-11-19,265.819183,150.455688,1800.800049,1304.959961,53.004078,136.543991,121.339096,150.677261,118.558212,66.365379
01-10-19,247.428162,142.494583,1776.660034,1260.109985,54.02644,131.131485,122.989098,129.146255,116.736389,65.819885
01-09-19,222.770889,138.181091,1735.910034,1219,53.644157,128.489792,122.86068,129.543869,118.150047,68.781151
01-08-19,206.836563,136.563492,1776.290039,1188.099976,54.23539,126.528687,118.761383,136.442535,113.192604,65.887085
01-07-19,211.097366,134.988449,1866.780029,1216.680054,51.860619,128.362152,115.847893,141.28334,109.348846,71.544441
01-06-19,196.115219,132.70018,1893.630005,1080.910034,49.786957,137.292892,107.613708,137.954025,109.457817,73.728493
01-05-19,172.808105,122.06501,1775.069946,1103.630005,48.036789,128.400314,100.998878,130.445786,99.961349,67.318733
01-04-19,198.077362,128.894653,1926.52002,1188.47998,47.968349,138.239609,103.770111,135.316269,101.340942,76.36496
01-03-19,187.495865,116.399963,1780.75,1173.310059,45.420784,136.859161,101.401962,109.689461,95.593979,76.859604
01-02-19,170.183029,110.096939,1639.829956,1119.920044,43.947472,132.893829,96.041931,111.477608,97.024994,74.350464
01-01-19,163.587997,102.628075,1718.72998,1116.369995,46.651779,129.431427,93.276901,110.173546,93.927734,68.940933
01-12-18,155.037109,99.817421,1501.969971,1035.609985,45.895733,125.511925,88.877502,107.49234,90.805397,64.152336
01-11-18,174.909714,108.507858,1690.170044,1094.430054,48.4688,141.968475,91.381775,113.217415,95.192131,74.042061
01-10-18,214.361847,104.515488,1598.01001,1076.77002,46.045349,135.290451,84.993507,112.570404,97.755928,74.209702
01-09-18,221.100433,111.913086,2003,1193.469971,44.04546,133.531525,79.770088,114.638885,91.546272,79.18309
