Date,GSPC,ACWI,RUT,EEM,BND
01-01-20,3225.52,78.11,1614.06,42.11,84.98
01-12-19,3230.78,78.3,1668.47,43.93,82.96
01-11-19,3140.98,76.61,1624.5,41.65,83.21
01-10-19,3037.56,74.86,1562.45,41.69,83.24
01-09-19,2976.74,72.87,1523.37,40.02,82.98
01-08-19,2926.46,71.27,1494.84,39.35,83.45
01-07-19,2980.38,72.88,1574.61,40.9,81.2
01-06-19,2941.76,71.92,1566.57,41.69,81.07
01-05-19,2752.06,68.39,1465.49,39.56,80.07
01-04-19,2945.83,72.81,1591.21,42.69,78.63
01-03-19,2834.4,70.4,1539.74,41.7,78.66
01-02-19,2784.49,69.31,1575.55,41.24,77.15
01-01-19,2704.1,67.64,1499.42,41.88,77.41
01-12-18,2506.85,61.99,1477.41,37.39,76.18
01-11-18,2760.17,67.47,1533.27,39.33,74.97
01-10-18,2711.74,66.42,1511.41,37.49,74.51
01-09-18,2913.98,71.75,1696.57,41.09,75.15
01-08-18,2901.52,71.31,1740.75,41.33,75.56
01-07-18,2816.29,70.82,1670.8,42.94,75.07
01-06-18,2718.37,67.96,1643.07,41.21,74.92
01-05-18,2705.27,69.12,1633.61,43.45,74.96
01-04-18,2648.05,68.79,1541.88,44.62,74.43
01-03-18,2640.87,68.52,1529.43,45.92,75.1
01-02-18,2713.83,69.56,1512.45,45.67,74.58
01-01-18,2823.81,72.82,1574.98,48.53,75.53
01-12-17,2673.61,68.26,1535.51,44.15,76.12
01-11-17,2584.84,67.91,1486.88,43.19,76
01-10-17,2575.26,66.56,1502.53,43.36,75.99
01-09-17,2519.36,65.16,1490.86,41.98,76.01
01-08-17,2471.65,63.96,1405.28,42,76.21
01-07-17,2470.3,63.7,1425.14,41.04,75.4
01-06-17,2423.41,61.33,1415.36,38.6,75.1
01-05-17,2411.8,61.52,1370.21,38.42,75.06
01-04-17,2384.2,60.19,1400.43,37.36,74.53
01-03-17,2362.72,59.24,1385.92,36.73,73.95
01-02-17,2363.64,58.45,1386.68,35.43,73.97
01-01-17,2278.87,57.02,1361.82,34.82,73.67
01-12-16,2238.83,54.9,1357.13,32.28,73.2
01-11-16,2198.81,54.34,1322.34,32.73,73.15
01-10-16,2126.15,53.78,1191.39,34.24,75.09
01-09-16,2168.27,54.83,1251.65,34.53,75.79
01-08-16,2170.95,54.32,1239.91,33.68,75.71
01-07-16,2173.6,54.14,1219.94,33.39,75.95
01-06-16,2098.86,51.49,1151.92,31.43,75.49
01-05-16,2096.95,52.2,1154.79,30.3,74
01-04-16,2065.3,52.02,1130.85,31.46,73.99
01-03-16,2059.74,51.34,1114.03,31.33,73.7
01-02-16,1932.23,47.8,1033.9,27.74,73.05
01-01-16,1940.24,48.4,1035.38,27.97,72.59
01-12-15,2043.94,50.46,1135.89,29,71.38
01-11-15,2080.41,52.22,1198.11,30.62,71.7
01-10-15,2079.36,52.5,1161.86,31.41,71.99
01-09-15,1920.03,48.76,1100.69,29.53,71.97
01-08-15,1972.18,50.5,1159.45,30.48,71.39
01-07-15,2103.84,54.19,1238.68,33.44,71.57
01-06-15,2063.11,53.12,1253.95,35.43,70.94
01-05-15,2107.39,55.17,1246.53,36.77,71.75
01-04-15,2085.51,55.17,1220.13,38.34,72.08
01-03-15,2067.89,53.63,1252.77,35.88,72.34
01-02-15,2104.5,54.42,1233.37,36.43,71.94
01-01-15,1994.99,51.58,1165.39,34.89,73.04
