IBHB - Carteira do Dia 06/04/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ASAI3;ASSAI;ON      NM;2.283.983.449;5,379;
B3SA3;B3;ON  EJ  NM;1.014.228.346;4,863;
BRKM5;BRASKEM;PNA     N1;1.817.809.150;4,262;
BPAC11;BTGP BANCO;UNT ATZ N2;216.833.873;3,203;
CEAB3;CEA MODAS;ON      NM;1.477.197.661;4,587;
COGN3;COGNA ON;ON      NM;5.243.727.705;4,301;
CSAN3;COSAN;ON      NM;3.271.608.224;4,532;
CMIN3;CSNMINERACAO;ON      N2;2.483.133.063;3,151;
CURY3;CURY S/A;ON      NM;318.842.343;2,969;
CYRE3;CYRELA REALT;ON      NM;462.640.074;3,284;
CYRE4;CYRELA REALT;PN      NM;87.708.847;0,579;
DIRR3;DIRECIONAL;ON      NM;770.263.210;2,656;
HAPV3;HAPVIDA;ON      NM;1.167.680.511;3,199;
RENT3;LOCALIZA;ON  EJ  NM;320.513.091;3,941;
RENT4;LOCALIZA;PN  EJ  NM;12.327.239;0,145;
LREN3;LOJAS RENNER;ON  EJ  NM;1.259.551.911;4,821;
MGLU3;MAGAZ LUIZA;ON      NM;2.868.495.310;6,474;
MRVE3;MRV;ON      NM;2.178.576.333;4,456;
NATU3;NATURA;ON      NM;1.149.955.173;3,070;
RDOR3;REDE D OR;ON  EJ  NM;238.302.155;2,445;
CSNA3;SID NACIONAL;ON;1.707.726.381;2,850;
SMFT3;SMART FIT;ON      NM;540.309.606;2,660;
UGPA3;ULTRAPAR;ON      NM;651.818.867;4,913;
VAMO3;VAMOS;ON      NM;7.034.060.874;6,695;
VBBR3;VIBRA;ON  EJ  NM;456.467.168;3,708;
VIVA3;VIVARA S.A.;ON      NM;394.049.088;2,673;
YDUQ3;YDUQS PART;ON      NM;1.384.126.689;4,184;
Quantidade Teórica Total;;;40.811.936.341;100,000
Redutor;;;180.151.538,46883152
