IBBR - Carteira do Dia 05/01/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;466.135.796;0,405;
ABEV3;AMBEV S/A;ON  EDJ;4.273.841.357;1,777;
ASAI3;ASSAI;ON      NM;1.338.601.375;0,297;
AURE3;AUREN;ON      NM;318.338.365;0,113;
AXIA3;AXIA ENERGIA;ON  EB  N1;1.616.108.694;2,461;
AXIA6;AXIA ENERGIA;PNB EX  N1;270.655.585;0,433;
AXIA7;AXIA ENERGIA;PNC     N1;495.913.138;0,725;
AZZA3;AZZAS 2154;ON  ED  NM;132.447.688;0,102;
B3SA3;B3;ON  EJ  NM;5.196.371.458;2,126;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,671;
BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,699;
BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;2,832;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,153;
BBAS3;BRASIL;ON      NM;2.842.496.541;1,877;
BRKM5;BRASKEM;PNA     N1;265.876.767;0,063;
BRAV3;BRAVA;ON      NM;462.883.017;0,235;
BPAC11;BTGP BANCO;UNT EJ  N2;1.404.794.900;2,233;
CXSE3;CAIXA SEGURI;ON  EDR NM;600.000.000;0,296;
CEAB3;CEA MODAS;ON  EJ  NM;138.420.009;0,052;
CMIG4;CEMIG;PN  EDJ N1;1.904.057.894;0,647;
COGN3;COGNA ON;ON  EDB NM;1.810.877.718;0,173;
CSMG3;COPASA;ON  EJ  NM;188.467.895;0,250;
CPLE3;COPEL;ON  EDJ NM;1.294.080.688;0,479;
CSAN3;COSAN;ON      NM;1.802.521.475;0,288;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,307;
CMIN3;CSNMINERACAO;ON  EDJ N2;1.646.519.336;0,262;
CURY3;CURY S/A;ON      NM;144.815.925;0,139;
CYRE3;CYRELA REALT;ON  EB  NM;256.055.995;0,187;
CYRE4;CYRELA REALT;PN      NM;48.543.949;0,036;
DIRR3;DIRECIONAL;ON      NM;325.640.184;0,135;
EMBJ3;EMBRAER;ON      NM;722.766.139;1,950;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,514;
ENEV3;ENEVA;ON      NM;1.912.889.086;1,167;
EGIE3;ENGIE BRASIL;ON  EJ  NM;357.310.487;0,339;
EQTL3;EQUATORIAL;ON  EJ  NM;1.250.951.305;1,459;
FLRY3;FLEURY;ON      NM;447.150.822;0,202;
GGBR4;GERDAU;PN      N1;1.263.524.206;0,789;
GOAU4;GERDAU MET;PN  EB  N1;622.977.444;0,169;
HAPV3;HAPVIDA;ON      NM;287.507.905;0,128;
HYPE3;HYPERA;ON  EJ  NM;296.007.718;0,210;
IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,163;
INBR32;INTER CO;DR2;321.953.000;0,451;
IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,131;
ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,324;
ITSA4;ITAUSA;PN  EB  N1;5.853.453.377;2,074;
ITUB4;ITAUUNIBANCO;PN  EJB N1;5.350.259.376;6,380;
JBSS32;JBS N.V.;DR2;814.216.000;1,912;
KLBN11;KLABIN S/A;UNT     N2;784.510.115;0,456;
RENT3;LOCALIZA;ON  EB  NM;977.042.684;1,293;
RENT4;LOCALIZA;PN      NM;37.577.993;0,046;
LREN3;LOJAS RENNER;ON      NM;986.834.705;0,402;
MGLU3;MAGAZ LUIZA;ON  EB  NM;373.185.407;0,100;
POMO4;MARCOPOLO;PN  EB  N2;727.730.867;0,131;
MBRF3;MARFRIG;ON      NM;767.248.368;0,459;
MELI34;MERCADOLIBRE;DRN;4.381.629.522;12,017;
BEEF3;MINERVA;ON      NM;439.073.587;0,072;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,456;
MRVE3;MRV;ON      NM;374.670.758;0,088;
MULT3;MULTIPLAN;ON  EJ  N2;320.022.221;0,264;
NATU3;NATURA;ON      NM;838.359.453;0,184;
ROXO34;NU HOLDINGS;DRN;22.937.850.000;10,767;
PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,052;
PAGS34;PAGSEGURO;DRN;926.090.000;0,294;
PETR3;PETROBRAS;ON  EDJ N2;3.478.483.761;3,422;
PETR4;PETROBRAS;PN  EDJ N2;4.410.960.450;4,126;
RECV3;PETRORECSA;ON      NM;274.630.892;0,093;
PRIO3;PETRORIO;ON      NM;762.764.253;0,970;
PSSA3;PORTO SEGURO;ON  EJ  NM;181.016.454;0,265;
RADL3;RAIADROGASIL;ON  EB  NM;1.285.713.898;0,928;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,029;
RDOR3;REDE D OR;ON  EDJ NM;1.091.469.308;1,346;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,549;
SBSP3;SABESP;ON  EJB NM;703.760.624;2,853;
SANB11;SANTANDER BR;UNT EJ;360.347.199;0,369;
CSNA3;SID NACIONAL;ON;727.975.012;0,192;
SLCE3;SLC AGRICOLA;ON  EB  NM;222.404.640;0,100;
SMFT3;SMART FIT;ON      NM;467.471.342;0,327;
STOC34;STONE CO;DRN;254.617.000;0,625;
