IBXX - Carteira do Dia 29/07/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;238.441.689;0,274;
ALOS3;ALLOS;ON      NM;532.616.595;0,517;
ALPA4;ALPARGATAS;PN      N1;166.362.038;0,065;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,338;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,142;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,595;
AURE3;AUREN;ON      NM;301.966.319;0,163;
AZUL4;AZUL;PN      N2;332.825.777;0,123;
B3SA3;B3;ON      NM;5.602.790.110;2,748;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,041;
BBDC3;BRADESCO;ON      N1;1.489.259.656;0,756;
BBDC4;BRADESCO;PN      N1;5.135.772.281;2,864;
BRAP4;BRADESPAR;PN      N1;250.992.819;0,208;
BBAS3;BRASIL;ON      NM;2.842.247.534;3,453;
BRKM5;BRASKEM;PNA     N1;265.877.867;0,217;
BRFS3;BRF SA;ON      NM;835.221.269;0,807;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,679;
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,334;
CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,219;
CCRO3;CCR SA;ON      NM;995.335.937;0,557;
CMIG4;CEMIG;PN      N1;1.868.640.510;0,902;
CIEL3;CIELO;ON      NM;1.095.462.329;0,283;
COGN3;COGNA ON;ON      NM;1.814.903.540;0,128;
CSMG3;COPASA;ON      NM;188.462.398;0,184;
CPLE3;COPEL;ON      N2;1.300.330.190;0,527;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,761;
CSAN3;COSAN;ON      NM;1.168.966.848;0,717;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,276;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,249;
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,044;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,234;
DXCO3;DEXCO;ON      NM;302.768.240;0,098;
DIRR3;DIRECIONAL;ON      NM;108.668.381;0,138;
ECOR3;ECORODOVIAS;ON      NM;334.032.615;0,106;
ELET3;ELETROBRAS;ON      N1;1.977.081.146;3,398;
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,514;
EMBR3;EMBRAER;ON      NM;734.632.601;1,366;
ENAT3;ENAUTA PART;ON      NM;263.267.225;0,243;
ENGI11;ENERGISA;UNT     N2;326.265.871;0,650;
ENEV3;ENEVA;ON      NM;1.579.630.820;0,910;
EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,509;
EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,691;
EZTC3;EZTEC;ON      NM;91.514.307;0,055;
FLRY3;FLEURY;ON      NM;240.822.651;0,165;
GGBR4;GERDAU;PN      N1;1.246.339.197;1,023;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,314;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,144;
NTCO3;GRUPO NATURA;ON      NM;849.346.756;0,582;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,137;
HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,823;
HYPE3;HYPERA;ON  EJ  NM;409.490.388;0,541;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,205;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,107;
ITSA4;ITAUSA;PN      N1;5.560.910.983;2,563;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;7,364;
JBSS3;JBS;ON      NM;1.134.986.472;1,679;
KLBN11;KLABIN S/A;UNT     N2;777.422.123;0,738;
RENT3;LOCALIZA;ON      NM;863.138.188;1,698;
LREN3;LOJAS RENNER;ON      NM;951.452.770;0,568;
LWSA3;LWSA;ON      NM;428.737.358;0,085;
MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;0,187;
POMO4;MARCOPOLO;PN      N2;666.413.239;0,189;
MRFG3;MARFRIG;ON      NM;331.799.687;0,169;
BEEF3;MINERVA;ON      NM;261.036.182;0,074;
MOVI3;MOVIDA;ON      NM;124.051.424;0,035;
MRVE3;MRV;ON      NM;375.130.280;0,113;
MULT3;MULTIPLAN;ON      N2;268.505.432;0,291;
PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,049;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,773;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,699;
RECV3;PETRORECSA;ON      NM;275.166.463;0,259;
PRIO3;PETRORIO;ON      NM;804.019.521;1,711;
PETZ3;PETZ;ON      NM;314.729.428;0,052;
PSSA3;PORTO SEGURO;ON      NM;181.531.496;0,246;
RADL3;RAIADROGASIL;ON      NM;1.280.079.284;1,548;
RAIZ4;RAIZEN;PN      N2;1.210.920.604;0,166;
RDOR3;REDE D OR;ON      NM;1.144.776.793;1,439;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,232;
SBSP3;SABESP;ON      NM;340.001.799;1,322;
SANB11;SANTANDER BR;UNT EJ;342.918.449;0,433;
STBP3;SANTOS BRP;ON      NM;855.677.944;0,529;
SMTO3;SAO MARTINHO;ON  ED  NM;142.348.116;0,192;
CSNA3;SID NACIONAL;ON;600.865.451;0,324;
SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,159;
SMFT3;SMART FIT;ON      NM;307.405.718;0,291;
SUZB3;SUZANO S.A.;ON      NM;664.114.223;1,541;
TAEE11;TAESA;UNT     N2;218.568.234;0,331;
VIVT3;TELEF BRASIL;ON  EJ;408.343.528;0,885;
TEND3;TENDA;ON      NM;121.681.013;0,070;
TIMS3;TIM;ON      NM;807.896.814;0,589;
TOTS3;TOTVS;ON      NM;514.122.351;0,648;
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,437;
UGPA3;ULTRAPAR;ON      NM;1.087.228.062;1,115;
USIM5;USIMINAS;PNA     N1;515.117.391;0,146;
VALE3;VALE;ON      NM;4.427.123.466;12,189;
VAMO3;VAMOS;ON      NM;498.860.020;0,200;
VBBR3;VIBRA;ON      NM;1.114.613.709;1,160;
