IBXL - Carteira do Dia 06/04/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON  ATZ;4.273.841.357;2,465;
ASAI3;ASSAI;ON      NM;1.338.601.375;0,461;
AXIA3;AXIA ENERGIA;ON      N1;1.974.649.558;4,418;
AXIA7;AXIA ENERGIA;PNC     N1;519.012.719;1,123;
B3SA3;B3;ON  EJ  NM;5.196.371.458;3,646;
BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,824;
BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,928;
BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,685;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,509;
BRAV3;BRAVA;ON      NM;462.883.017;0,358;
BPAC11;BTGP BANCO;UNT ATZ N2;1.404.794.900;3,037;
CMIG4;CEMIG;PN  EJ  N1;1.904.057.894;0,917;
COGN3;COGNA ON;ON      NM;1.914.692.857;0,230;
CPLE3;COPEL;ON      NM;2.969.191.078;1,784;
CSAN3;COSAN;ON      NM;1.802.521.475;0,365;
CYRE3;CYRELA REALT;ON      NM;256.055.995;0,266;
CYRE4;CYRELA REALT;PN      NM;48.543.949;0,047;
EMBJ3;EMBRAER;ON      NM;722.766.139;2,209;
ENGI11;ENERGISA;UNT     N2;358.053.350;0,719;
ENEV3;ENEVA;ON      NM;1.912.889.086;1,796;
EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,912;
GGBR4;GERDAU;PN      N1;1.263.524.206;0,945;
HAPV3;HAPVIDA;ON      NM;287.507.905;0,115;
ITSA4;ITAUSA;PN      N1;5.970.522.444;3,137;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;8,744;
KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,578;
RENT3;LOCALIZA;ON  EJ  NM;977.042.684;1,758;
RENT4;LOCALIZA;PN  EJ  NM;37.577.993;0,065;
LREN3;LOJAS RENNER;ON  EJ  NM;981.927.306;0,550;
MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,123;
POMO4;MARCOPOLO;PN      N2;727.730.867;0,170;
MBRF3;MARFRIG;ON      NM;767.248.368;0,602;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,612;
MULT3;MULTIPLAN;ON  EJ  N2;320.022.221;0,387;
NATU3;NATURA;ON      NM;838.359.453;0,327;
PETR3;PETROBRAS;ON      N2;3.478.483.761;6,972;
PETR4;PETROBRAS;PN      N2;4.410.960.450;8,016;
PRIO3;PETRORIO;ON      NM;762.017.253;1,949;
PSSA3;PORTO SEGURO;ON  EDJ NM;181.016.454;0,345;
RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,082;
RDOR3;REDE D OR;ON  EJ  NM;1.091.469.308;1,639;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,742;
SBSP3;SABESP;ON      NM;704.893.540;4,193;
CSNA3;SID NACIONAL;ON;727.975.012;0,178;
SMFT3;SMART FIT;ON      NM;467.471.342;0,337;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,176;
VIVT3;TELEF BRASIL;ON  EJ;738.065.812;1,151;
TIMS3;TIM;ON      NM;804.628.136;0,824;
TOTS3;TOTVS;ON  EJ  NM;533.980.424;0,705;
UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,182;
VALE3;VALE;ON  ATZ NM;4.267.772.018;13,458;
VBBR3;VIBRA;ON  EJ  NM;1.192.531.648;1,417;
WEGE3;WEG;ON      NM;1.485.954.732;2,822;
Quantidade Teórica Total;;;83.096.245.498;100,000
Redutor;;;83.231.122,98677001
