Código;Ação;Tipo;Qtde. Teórica;Part. (%)
VALE3;VALE;ON      NM;4270903023;10.816
PETR4;PETROBRAS;PN      N2;4431132660;7.462
ITUB4;ITAUUNIBANCO;PN  EDJ N1;4792902422;6.987
PETR3;PETROBRAS;ON      N2;3514947134;6.492
BBAS3;BRASIL;ON      NM;2842613858;3.562
WEGE3;WEG;ON      NM;1482105837;3.446
ELET3;ELETROBRAS;ON      N1;1977170723;3.302
SBSP3;SABESP;ON      NM;683508568;2.969
BBDC4;BRADESCO;PN      N1;5129958973;2.679
B3SA3;B3;ON      NM;5392540963;2.584
ITSA4;ITAUSA;PN  EX  N1;5857796242;2.347
ABEV3;AMBEV S/A;ON;4394835131;2.163
EMBR3;EMBRAER;ON      NM;734631801;1.976
BPAC11;BTGP BANCO;UNT     N2;1287247964;1.853
EQTL3;EQUATORIAL;ON      NM;1253541010;1.724
SUZB3;SUZANO S.A.;ON      NM;630821784;1.591
JBSS3;JBS;ON      NM;1145962972;1.576
RDOR3;REDE D OR;ON      NM;1145289019;1.457
PRIO3;PETRORIO;ON  ATZ NM;779999989;1.269
RENT3;LOCALIZA;ON      NM;965986531;1.215
BBSE3;BBSEGURIDADE;ON  EDR NM;637332335;1.059
RADL3;RAIADROGASIL;ON      NM;1286616979;1.051
ENEV3;ENEVA;ON      NM;1929556616;1.046
RAIL3;RUMO S.A.;ON      NM;1216914397;0.971
CMIG4;CEMIG;PN      N1;1858636840;0.94
VIVT3;TELEF BRASIL;ON  EJ;382442128;0.908
GGBR4;GERDAU;PN      N1;1242683687;0.9
TOTS3;TOTVS;ON      NM;540206440;0.851
VBBR3;VIBRA;ON      NM;1023538460;0.827
UGPA3;ULTRAPAR;ON      NM;1090134379;0.803
CPLE6;COPEL;PNB     N2;1679233590;0.765
BBDC3;BRADESCO;ON      N1;1484426957;0.71
KLBN11;KLABIN S/A;UNT     N2;765785673;0.708
BRFS3;BRF SA;ON      NM;814523002;0.682
TIMS3;TIM;ON  EJ  NM;807495418;0.613
ENGI11;ENERGISA;UNT ED  N2;326175300;0.577
CCRO3;CCR SA;ON      NM;991920937;0.535
CPLE3;COPEL;ON      N2;1300330190;0.533
LREN3;LOJAS RENNER;ON      NM;1051120777;0.528
ITUB3;ITAUUNIBANCO;ON  EDJ N1;402586896;0.518
NTCO3;GRUPO NATURA;ON      NM;850935197;0.502
STBP3;SANTOS BRP;ON      NM;855712622;0.502
ELET6;ELETROBRAS;PNB     N1;268875696;0.498
HAPV3;HAPVIDA;ON  ATZ NM;4779395040;0.452
ASAI3;ASSAI;ON      NM;1345832968;0.425
SANB11;SANTANDER BR;UNT;356586730;0.419
ISAE4;ISA ENERGIA;PN      N1;395801044;0.419
EGIE3;ENGIE BRASIL;ON      NM;255236938;0.418
ALOS3;ALLOS;ON  ED  NM;476976044;0.394
CMIN3;CSNMINERACAO;ON      N2;1646519336;0.391
BRAV3;BRAVA;ON      NM;460791208;0.382
CSAN3;COSAN;ON      NM;1150987430;0.363
CXSE3;CAIXA SEGURI;ON      NM;517500000;0.355
TAEE11;TAESA;UNT     N2;218568234;0.322
HYPE3;HYPERA;ON      NM;370735677;0.316
PSSA3;PORTO SEGURO;ON      NM;182560698;0.314
MULT3;MULTIPLAN;ON      N2;314150156;0.305
CPFE3;CPFL ENERGIA;ON      NM;187732538;0.295
CSNA3;SID NACIONAL;ON;727459637;0.276
SMFT3;SMART FIT;ON      NM;328662412;0.27
CYRE3;CYRELA REALT;ON      NM;273755006;0.265
GOAU4;GERDAU MET;PN      N1;649238303;0.257
GGPS3;GPS;ON      NM;378836983;0.249
SAPR11;SANEPAR;UNT     N2;201077484;0.241
FLRY3;FLEURY;ON      NM;455988366;0.232
POMO4;MARCOPOLO;PN      N2;666378439;0.228
AMBP3;AMBIPAR;ON      NM;37603389;0.201
IRBR3;IRBBRASIL RE;ON      NM;81838243;0.199
ALUP11;ALUPAR;UNT     N2;151478409;0.193
RECV3;PETRORECSA;ON      NM;275170410;0.191
BRAP4;BRADESPAR;PN      N1;250969312;0.191
CSMG3;COPASA;ON      NM;188462398;0.19
MRFG3;MARFRIG;ON      NM;302019876;0.183
IGTI11;IGUATEMI S.A;UNT ED  N1;211783588;0.172
NEOE3;NEOENERGIA;ON      NM;195036523;0.171
CRFB3;CARREFOUR BR;ON      NM;532664283;0.17
AZZA3;AZZAS 2154;ON      NM;136643320;0.168
SLCE3;SLC AGRICOLA;ON      NM;194261422;0.155
SRNA3;SERENA;ON      NM;417646827;0.154
DIRR3;DIRECIONAL;ON      NM;109826474;0.149
ONCO3;ONCOCLINICAS;ON      NM;573177887;0.148
BRKM5;BRASKEM;PNA     N1;265388400;0.145
GMAT3;GRUPO MATEUS;ON      NM;461006420;0.14
PORT3;WILSON SONS;ON      NM;185686454;0.138
USIM5;USIMINAS;PNA     N1;515193199;0.135
YDUQ3;YDUQS PART;ON      NM;277677050;0.133
TUPY3;TUPY;ON      NM;143716238;0.132
CURY3;CURY S/A;ON      NM;133117425;0.132
COGN3;COGNA ON;ON      NM;1872454628;0.132
ODPV3;ODONTOPREV;ON      NM;253822668;0.127
SMTO3;SAO MARTINHO;ON      NM;128130966;0.125
AURE3;AUREN;ON      NM;323738747;0.121
MGLU3;MAGAZ LUIZA;ON      NM;353448195;0.116
UNIP6;UNIPAR;PNB;50800579;0.106
VIVA3;VIVARA S.A.;ON      NM;125446075;0.101
BRSR6;BANRISUL;PNB     N1;202536440;0.097
FRAS3;FRAS-LE;ON      N1;89841163;0.094
RAIZ4;RAIZEN;PN      N2;1198936529;0.094
VAMO3;VAMOS;ON      NM;485166826;0.092
VLID3;VALID;ON      NM;77021570;0.09
BPAN4;BANCO PAN;PN      N1;285723480;0.089
TEND3;TENDA;ON      NM;123094246;0.088
ORVR3;ORIZON;ON      NM;46587569;0.087
MRVE3;MRV;ON      NM;377241484;0.085
DXCO3;DEXCO;ON      NM;301760723;0.08
ECOR3;ECORODOVIAS;ON      NM;334032615;0.078
MYPK3;IOCHP-MAXION;ON      NM;130223270;0.076
TTEN3;3TENTOS;ON      NM;112212186;0.074
INTB3;INTELBRAS;ON      NM;114286318;0.073
RAPT4;RANDON PART;PN      N1;176650127;0.072
KEPL3;KEPLER WEBER;ON      NM;174021783;0.072
MILS3;MILLS;ON      NM;170940549;0.069
VULC3;VULCABRAS;ON  ED  NM;96358247;0.068
MDIA3;M.DIASBRANCO;ON      NM;66385773;0.068
SBFG3;GRUPO SBF;ON      NM;147103192;0.066
ABCB4;ABC BRASIL;PN      N2;72905159;0.065
LEVE3;METAL LEVE;ON      NM;52865876;0.065
HBSA3;HIDROVIAS;ON      NM;759856429;0.064
GRND3;GRENDENE;ON      NM;268118086;0.064
AZUL4;AZUL;PN  ES  N2;326872005;0.06
EZTC3;EZTEC;ON      NM;97334950;0.057
AGRO3;BRASILAGRO;ON      NM;63480488;0.057
PCAR3;P.ACUCAR-CBD;ON      NM;462534972;0.055
PETZ3;PETZ;ON      NM;293689428;0.055
FESA4;FERBASA;PN      N1;160583300;0.054
CBAV3;CBA;ON      NM;204441277;0.053
BMOB3;BEMOBI TECH;ON      NM;80992918;0.052
LWSA3;LWSA;ON      NM;389635155;0.052
ALPA4;ALPARGATAS;PN      N1;164391149;0.05
BEEF3;MINERVA;ON      NM;261359935;0.05
EVEN3;EVEN;ON      NM;189773600;0.049
JHSF3;JHSF PART;ON  ED  NM;292921855;0.049
TGMA3;TEGMA;ON      NM;32001379;0.047
CVCB3;CVC BRASIL;ON      NM;525591097;0.043
USIM3;USIMINAS;ON      N1;161021803;0.041
CEAB3;CEA MODAS;ON      NM;101504341;0.041
LOGG3;LOG COM PROP;ON      NM;46519104;0.039
RANI3;IRANI;ON      NM;106179855;0.035
ARML3;ARMAC;ON      NM;171598756;0.034
SIMH3;SIMPAR;ON      NM;227030128;0.034
PRNR3;PRINER;ON      NM;45899771;0.033
OPCT3;OCEANPACT;ON      NM;126724185;0.031
MDNE3;MOURA DUBEUX;ON      NM;53382259;0.029
BRBI11;BR PARTNERS;UNT     N2;47238057;0.028
LAVV3;LAVVI;ON      NM;73950129;0.028
CLSA3;CLEARSALE;ON      NM;55609742;0.026
PLPL3;PLANOEPLANO;ON      NM;54539741;0.026
PGMN3;PAGUE MENOS;ON      NM;193106999;0.025
PNVL3;DIMED;ON      NM;71516013;0.025
QUAL3;QUALICORP;ON      NM;278971994;0.024
TASA4;TAURUS ARMAS;PN      N2;67442691;0.024
GUAR3;GUARARAPES;ON      NM;81942860;0.022
SOJA3;BOA SAFRA;ON      NM;46233405;0.021
ANIM3;ANIMA;ON      NM;257302285;0.021
MLAS3;MULTILASER;ON      NM;386245397;0.021
MOVI3;MOVIDA;ON      NM;121834637;0.02
JALL3;JALLESMACHAD;ON      NM;96226077;0.018
LJQQ3;QUERO-QUERO;ON      NM;187622963;0.017
POSI3;POSITIVO TEC;ON      NM;72786803;0.017
BLAU3;BLAU;ON      NM;29680739;0.017
JSLG3;JSL;ON      NM;63199829;0.016
CAML3;CAMIL;ON      NM;94602711;0.015
ZAMP3;ZAMP S.A.;ON;107970531;0.013
SYNE3;SYN PROP TEC;ON      NM;59381237;0.013
DASA3;DASA;ON      NM;177124534;0.013
BHIA3;CASAS BAHIA;ON      NM;94965690;0.012
SEER3;SER EDUCA;ON      NM;52255107;0.011
VVEO3;VIVEO;ON      NM;178293177;0.011
CASH3;MELIUZ;ON      NM;64718141;0.01
MTRE3;MITRE REALTY;ON  ED  NM;57185919;0.008
AZTE3;AZT ENERGIA;ON;129669967;0.006
AZEV4;AZEVEDO;PN;129669967;0.006
AMOB3;AUTOMOB;ON      NM;533959816;0.006
GFSA3;GAFISA;ON      NM;115878978;0.006
RCSL4;RECRUSUL;PN;17369258;0.001
RCSL3;RECRUSUL;ON;1374716;0.0
