Código;Ação;Tipo;Qtde. Teórica;Part. (%)
VALE3;VALE;ON      NM;4270903023;11.962
PETR4;PETROBRAS;PN      N2;4431132660;8.253
ITUB4;ITAUUNIBANCO;PN  EDJ N1;4792902422;7.727
PETR3;PETROBRAS;ON      N2;2255782178;4.608
BBAS3;BRASIL;ON      NM;2842613858;3.938
ELET3;ELETROBRAS;ON      N1;1977170723;3.651
SBSP3;SABESP;ON      NM;683508568;3.284
WEGE3;WEG;ON      NM;1243177587;3.197
BBDC4;BRADESCO;PN      N1;5129958973;2.963
B3SA3;B3;ON      NM;5392540963;2.858
ITSA4;ITAUSA;PN  EX  N1;5857796242;2.596
ABEV3;AMBEV S/A;ON;4394835131;2.392
EMBR3;EMBRAER;ON      NM;734631801;2.186
BPAC11;BTGP BANCO;UNT     N2;1287247964;2.049
EQTL3;EQUATORIAL;ON      NM;1253541010;1.907
SUZB3;SUZANO S.A.;ON      NM;630821784;1.76
JBSS3;JBS;ON      NM;1145962972;1.743
RDOR3;REDE D OR;ON      NM;1145289019;1.611
PRIO3;PETRORIO;ON  ATZ NM;779999989;1.403
RENT3;LOCALIZA;ON      NM;965986531;1.344
BBSE3;BBSEGURIDADE;ON  EDR NM;637332335;1.171
RADL3;RAIADROGASIL;ON      NM;1286616979;1.162
ENEV3;ENEVA;ON      NM;1929556616;1.156
RAIL3;RUMO S.A.;ON      NM;1216914397;1.074
CMIG4;CEMIG;PN      N1;1858636840;1.039
VIVT3;TELEF BRASIL;ON  EJ;382442128;1.004
GGBR4;GERDAU;PN      N1;1242683687;0.995
TOTS3;TOTVS;ON      NM;540206440;0.941
VBBR3;VIBRA;ON      NM;1023538460;0.914
UGPA3;ULTRAPAR;ON      NM;1090134379;0.888
CPLE6;COPEL;PNB     N2;1679233590;0.846
BBDC3;BRADESCO;ON      N1;1484426957;0.785
KLBN11;KLABIN S/A;UNT     N2;765785673;0.783
BRFS3;BRF SA;ON      NM;814523002;0.754
TIMS3;TIM;ON  EJ  NM;807495418;0.677
ENGI11;ENERGISA;UNT ED  N2;326175300;0.638
CCRO3;CCR SA;ON      NM;991920937;0.591
LREN3;LOJAS RENNER;ON      NM;1051120777;0.583
NTCO3;GRUPO NATURA;ON      NM;850935197;0.555
STBP3;SANTOS BRP;ON      NM;855712622;0.555
ELET6;ELETROBRAS;PNB     N1;268875696;0.551
HAPV3;HAPVIDA;ON  ATZ NM;4779395040;0.5
ASAI3;ASSAI;ON      NM;1345832968;0.47
SANB11;SANTANDER BR;UNT;356586730;0.464
EGIE3;ENGIE BRASIL;ON      NM;255236938;0.463
ISAE4;ISA ENERGIA;PN      N1;395801044;0.463
ALOS3;ALLOS;ON  ED  NM;476976044;0.436
CMIN3;CSNMINERACAO;ON      N2;1646519336;0.433
BRAV3;BRAVA;ON      NM;460791208;0.422
CSAN3;COSAN;ON      NM;1150987430;0.402
CXSE3;CAIXA SEGURI;ON      NM;517500000;0.393
TAEE11;TAESA;UNT     N2;218568234;0.356
HYPE3;HYPERA;ON      NM;370735677;0.349
PSSA3;PORTO SEGURO;ON      NM;182560698;0.347
MULT3;MULTIPLAN;ON      N2;314150156;0.337
CPFE3;CPFL ENERGIA;ON      NM;187732538;0.326
CSNA3;SID NACIONAL;ON;727459637;0.305
CYRE3;CYRELA REALT;ON      NM;273755006;0.293
GOAU4;GERDAU MET;PN      N1;649238303;0.285
FLRY3;FLEURY;ON      NM;455988366;0.256
POMO4;MARCOPOLO;PN      N2;666378439;0.252
IRBR3;IRBBRASIL RE;ON      NM;81838243;0.221
RECV3;PETRORECSA;ON      NM;275170410;0.212
BRAP4;BRADESPAR;PN      N1;250969312;0.211
MRFG3;MARFRIG;ON      NM;302019876;0.203
IGTI11;IGUATEMI S.A;UNT ED  N1;211783588;0.19
CRFB3;CARREFOUR BR;ON      NM;532664283;0.188
AZZA3;AZZAS 2154;ON      NM;136643320;0.186
SLCE3;SLC AGRICOLA;ON      NM;194261422;0.172
BRKM5;BRASKEM;PNA     N1;265388400;0.161
USIM5;USIMINAS;PNA     N1;515193199;0.149
YDUQ3;YDUQS PART;ON      NM;277677050;0.148
COGN3;COGNA ON;ON      NM;1872454628;0.146
SMTO3;SAO MARTINHO;ON      NM;128130966;0.139
AURE3;AUREN;ON      NM;323738747;0.134
MGLU3;MAGAZ LUIZA;ON      NM;353448195;0.128
VIVA3;VIVARA S.A.;ON      NM;125446075;0.111
RAIZ4;RAIZEN;PN      N2;1198936529;0.104
VAMO3;VAMOS;ON      NM;485166826;0.102
MRVE3;MRV;ON      NM;377241484;0.094
AZUL4;AZUL;PN  ES  N2;326872005;0.066
PCAR3;P.ACUCAR-CBD;ON      NM;462534972;0.061
PETZ3;PETZ;ON      NM;293689428;0.061
LWSA3;LWSA;ON      NM;389635155;0.057
BEEF3;MINERVA;ON      NM;261359935;0.056
CVCB3;CVC BRASIL;ON      NM;525591097;0.047
AMOB3;AUTOMOB;ON      NM;533959816;0.007
