Código;Ação;Tipo;Qtde. Teórica;Part. (%)
LREN3;LOJAS RENNER;ON  EJ  NM;1323725541;4.961
CVCB3;CVC BRASIL;ON      NM;13060521985;4.917
HAPV3;HAPVIDA;ON      NM;5543939773;4.769
MRVE3;MRV;ON      NM;3071925347;4.582
MGLU3;MAGAZ LUIZA;ON      NM;2186264754;4.509
LWSA3;LWSA;ON      NM;5078920952;4.41
YDUQ3;YDUQS PART;ON      NM;2224229331;4.322
COGN3;COGNA ON;ON      NM;15089313085;4.031
AZUL4;AZUL;PN      N2;3716306505;3.829
EZTC3;EZTEC;ON      NM;1356107740;3.658
CYRE3;CYRELA REALT;ON      NM;873788575;3.617
VIVA3;VIVARA S.A.;ON      NM;647705920;3.609
B3SA3;B3;ON  EDJ NM;1579998036;3.57
RENT3;LOCALIZA;ON      NM;405952311;3.539
CSNA3;SID NACIONAL;ON;1428281923;3.504
BRFS3;BRF SA;ON      NM;700054537;3.497
ALPA4;ALPARGATAS;PN      N1;2406249929;3.482
CSAN3;COSAN;ON      NM;1321649455;3.403
NTCO3;GRUPO NATURA;ON      NM;1207272847;3.309
BPAC11;BTGP BANCO;UNT     N2;490695567;3.248
PCAR3;P.ACUCAR-CBD;ON      NM;5315640028;3.099
VBBR3;VIBRA;ON  EJ  NM;591463534;2.897
ALOS3;ALLOS;ON      NM;638998597;2.878
IRBR3;IRBBRASIL RE;ON      NM;288325385;2.687
IGTI11;IGUATEMI S.A;UNT     N1;621056732;2.679
USIM5;USIMINAS;PNA     N1;2000340799;2.441
UGPA3;ULTRAPAR;ON      NM;530511146;2.31
PETR4;PETROBRAS;PN      N2;301329613;2.243
