Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TAEE11;TAESA;UNT     N2;3600559095;5.578
BBSE3;BBSEGURIDADE;ON      NM;2880373393;4.627
EGIE3;ENGIE BRASIL;ON      NM;2197710373;4.345
ITSA4;ITAUSA;PN  EJ  N1;8467851433;4.189
CPFE3;CPFL ENERGIA;ON      NM;2705187098;4.078
AURE3;AUREN;ON      NM;8583330205;4.075
ABEV3;AMBEV S/A;ON;6861259002;3.97
ITUB4;ITAUUNIBANCO;PN  EJ  N1;2414678557;3.91
BBAS3;BRASIL;ON      NM;3082912555;3.828
KLBN11;KLABIN S/A;UNT     N2;3846791977;3.672
VIVT3;TELEF BRASIL;ON;1440971359;3.612
VALE3;VALE;ON      NM;1305502579;3.573
CPLE6;COPEL;PNB     N2;7530877260;3.511
BRAP4;BRADESPAR;PN      N1;4057037201;3.508
FLRY3;FLEURY;ON      NM;4773498253;3.483
TIMS3;TIM;ON  EJ  NM;3867088211;3.295
SANB11;SANTANDER BR;UNT;2455864956;3.235
GOAU4;GERDAU MET;PN      N1;6629633443;3.223
TRPL4;TRAN PAULIST;PN      N1;2901303416;3.206
EQTL3;EQUATORIAL;ON      NM;2140313345;3.162
CXSE3;CAIXA SEGURI;ON      NM;4813252463;3.154
SLCE3;SLC AGRICOLA;ON      NM;4028081038;3.153
ENEV3;ENEVA;ON      NM;4840599805;3.078
CCRO3;CCR SA;ON      NM;5296201819;2.947
ALOS3;ALLOS;ON      NM;2915145373;2.941
ENGI11;ENERGISA;UNT     N2;1416832711;2.926
RADL3;RAIADROGASIL;ON      NM;2389854482;2.877
IGTI11;IGUATEMI S.A;UNT     N1;2942532915;2.844
