Código,Ação,Tipo,Qtde. Teórica,Part. (%)
CMIG4,CEMIG,PN      N1,2157902950,6.057
PETR4,PETROBRAS,PN      N2,682191496,5.919
GGBR4,GERDAU,PN  EB  N1,1419894314,5.842
PETR3,PETROBRAS,ON      N2,590840282,5.404
CPLE6,COPEL,PNB     N2,2545307750,5.073
BBAS3,BRASIL,ON  EB  NM,793164898,4.705
VALE3,VALE,ON      NM,284098114,3.854
BBSE3,BBSEGURIDADE,ON      NM,545114447,3.846
KLBN11,KLABIN S/A,UNT     N2,709464733,3.739
TRPL4,TRAN PAULIST,PN      N1,599901324,3.243
EGIE3,ENGIE BRASIL,ON      NM,378173990,3.23
JBSS3,JBS,ON      NM,673468323,3.189
VIVT3,TELEF BRASIL,ON  ER,300540563,3.134
SANB11,SANTANDER BR,UNT EJ,499015224,2.876
CSNA3,SID NACIONAL,ON,910710028,2.862
ITSA4,ITAUSA,PN      N1,1332917619,2.72
CXSE3,CAIXA SEGURI,ON      NM,784356029,2.611
TAEE11,TAESA,UNT     N2,331275965,2.533
GOAU4,GERDAU MET,PN      N1,1000961394,2.353
CPFE3,CPFL ENERGIA,ON      NM,284539416,2.127
CMIN3,CSNMINERACAO,ON      N2,1683234625,1.91
CMIG3,CEMIG,ON      N1,546807935,1.781
PSSA3,PORTO SEGURO,ON      NM,275140721,1.745
USIM5,USIMINAS,PNA     N1,780744795,1.727
BRAP4,BRADESPAR,PN      N1,380436831,1.726
POMO4,MARCOPOLO,PN      N2,1010243819,1.542
ALUP11,ALUPAR,UNT EDB N2,229590337,1.379
CSMG3,COPASA,ON      NM,285645639,1.317
AURE3,AUREN,ON      NM,457679426,1.157
FLRY3,FLEURY,ON      NM,365006180,1.097
UNIP6,UNIPAR,PNB EB,77320979,0.933
BRSR6,BANRISUL,PNB     N1,306453645,0.814
DIRR3,DIRECIONAL,ON      NM,163080575,0.778
CURY3,CURY S/A,ON      NM,182321209,0.729
LEVE3,METAL LEVE,ON      NM,80126895,0.574
KEPL3,KEPLER WEBER,ON      NM,267607296,0.573
ABCB4,ABC BRASIL,PN      N2,112596646,0.553
AGRO3,BRASILAGRO,ON      NM,96658494,0.551
GRND3,GRENDENE,ON      NM,406425647,0.522
BEEF3,MINERVA,ON      NM,395643098,0.515
EVEN3,EVEN,ON      NM,288501857,0.448
FESA4,FERBASA,PN      N1,245507832,0.435
JHSF3,JHSF PART,ON      NM,453565710,0.416
RANI3,IRANI,ON      NM,155753957,0.31
TASA4,TAURUS ARMAS,PN      N2,103750861,0.273
TGMA3,TEGMA,ON  EDJ NM,48503332,0.254
LAVV3,LAVVI,ON      NM,111931968,0.206
WIZC3,WIZ CO,ON      NM,114089234,0.174
ROMI3,ROMI,ON      NM,71729020,0.167
MTRE3,MITRE REALTY,ON      NM,79178852,0.077
