IFIX - Carteira do Dia 28/04/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;4.836.324;0,338;
BPFF11;FII ABSOLUTO;CI;4.492.326;0,192;
AFHI11;FII AFHI CRI;CI  ER;4.555.618;0,303;
AJFI11;FII AJ MALLS;CI;31.625.978;0,170;
ALZR11;FII ALIANZA;CI  ER;12.226.625;0,863;
RZAT11;FII ARCTIUM;CI  ER;4.235.042;0,270;
FATN11;FII ATHENA I;CI;3.432.267;0,188;
ARRI11;FII ATRIO;CI;19.646.886;0,106;
AIEC11;FII AUTONOMY;CI;4.824.987;0,157;
BARI11;FII BARI VBI;CI;4.634.191;0,245;
BBIG11;FII BBIG;CI;99.120.994;0,502;
BRCR11;FII BC FUND;CI;26.638.202;0,822;
BCIA11;FII BCIA;CI;3.719.038;0,231;
BCRI11;FII BEES CRI;CI;6.257.873;0,305;
BLMG11;FII BLUE LOG;CI;4.268.807;0,104;
BRCO11;FII BRESCO;CI;15.905.133;1,272;
BROF11;FII BROF;CI  ER;11.610.812;0,403;
BTAL11;FII BTG AGRO;CI  ER;5.982.736;0,326;
BTCI11;FII BTG CRI;CI;99.521.172;0,644;
BPML11;FII BTG SHOP;CI  ER;7.441.745;0,428;
BTRA11;FII BTG TAGR;CI  ER;3.364.559;0,146;
BTLG11;FII BTLG;CI  ER;43.249.151;3,124;
CCME11;FII CANUMA;CI;67.797.053;0,437;
CPTS11;FII CAPI SEC;CI;317.828.140;1,734;
ICRI11;FII CI IPCA;CI;3.857.359;0,263;
CLIN11;FII CLAVE IN;CI;4.346.763;0,279;
CPSH11;FII CPSH;CI  ER;79.699.818;0,539;
CVBI11;FII CVBI VBI;CI;11.010.228;0,680;
CYCR11;FII CYRELA;CI;36.549.445;0,231;
DEVA11;FII DEVANT;CI;14.044.908;0,299;
VRTA11;FII FATOR VE;CI;15.592.424;0,927;
GTWR11;FII G TOWERS;CI;12.000.000;0,601;
GZIT11;FII GAZIT;CI  ER;21.841.231;0,765;
GGRC11;FII GGRCOVEP;CI;122.285.100;0,867;
GARE11;FII GUARDIAN;CI;175.866.045;1,109;
HABT11;FII HABIT II;CI;8.126.783;0,477;
HCTR11;FII HECTARE;CI;22.084.202;0,343;
HGBS11;FII HEDGEBS;CI;12.729.800;1,805;
HGCR11;FII HGCR PAX;CI;15.418.106;1,074;
HGFF11;FII HGFF PAX;CI;2.863.597;0,148;
HGLG11;FII HGLG PAX;CI;33.787.575;3,895;
HGPO11;FII HGPO PAX;CI;1.753.057;0,167;
HGRE11;FII HGRE PAX;CI;11.817.767;1,010;
HGRU11;FII HGRU PAX;CI;23.238.024;2,062;
HTMX11;FII HOTEL MX;CI;3.226.809;0,327;
HSAF11;FII HSI CRI;CI;2.526.360;0,149;
HSLG11;FII HSI LOG;CI;12.660.067;0,753;
HSML11;FII HSI MALL;CI;20.808.572;1,276;
HFOF11;FII HTOPFOF3;CI;23.044.389;0,951;
IRDM11;FII IRIDIUM;CI;36.433.827;1,777;
ITRI11;FII ITRI;CI;6.250.000;0,349;
JSAF11;FII JS A FIN;CI;77.523.290;0,446;
JSRE11;FII JS REAL;CI;20.767.328;0,941;
KISU11;FII KILIMA;CI;44.196.050;0,230;
KNRI11;FII KINEA;CI;28.204.047;2,982;
KCRE11;FII KINEA CR;CI;36.000.000;0,229;
KNHF11;FII KINEA HF;CI;19.663.235;1,285;
KNHY11;FII KINEA HY;CI;28.169.507;2,052;
KNIP11;FII KINEA IP;CI;80.078.186;5,234;
KNCR11;FII KINEA RI;CI;89.151.090;6,626;
KNSC11;FII KINEA SC;CI;202.202.385;1,261;
KNUQ11;FII KINEA UN;CI;15.312.517;1,141;
KFOF11;FII KINEAFOF;CI;7.014.565;0,394;
KIVO11;FII KIVO;CI;2.222.736;0,104;
KORE11;FII KORE;CI;9.625.000;0,587;
LIFE11;FII LIFE;CI;34.368.608;0,218;
LVBI11;FII LVBI VBI;CI;16.118.565;1,189;
MALL11;FII MALLS BP;CI;12.972.967;0,951;
MANA11;FII MANATI;CI;37.536.140;0,233;
MCCI11;FII MAUA;CI;16.960.024;1,031;
MCRE11;FII MAUA RE;CI  ER;111.598.921;0,705;
MXRF11;FII MAXI REN;CI;437.325.297;2,923;
MFII11;FII MERITO I;CI;5.962.394;0,374;
OUJP11;FII OURI JPP;CI;3.252.384;0,184;
PATL11;FII PATL VBI;CI;4.991.535;0,172;
PORD11;FII POLO CRI;CI;37.283.750;0,222;
PVBI11;FII PVBI VBI;CI;27.130.067;1,519;
RBRL11;FII RBR LOG;CI;6.687.035;0,369;
RBRX11;FII RBR MULT;CI  ER;29.468.659;0,170;
RBRY11;FII RBR PCRI;CI;12.769.512;0,856;
RBRP11;FII RBR PROP;CI;12.179.186;0,429;
RBRF11;FII RBRALPHA;CI;136.807.700;0,685;
RBRR11;FII RBRHGRAD;CI;15.057.201;0,920;
RECR11;FII REC RECE;CI;26.441.650;1,582;
RECT11;FII REC REND;CI;8.543.493;0,196;
RBFF11;FII RIOB FF;CI;3.749.215;0,136;
RCRB11;FII RIOB RC;CI;3.690.695;0,346;
RBVA11;FII RIOB VA;CI;15.614.305;0,973;
RZAK11;FII RIZA AKN;CI  ER;8.807.885;0,519;
RZTR11;FII RIZA TX;CI;18.851.720;1,240;
RVBI11;FII RVBI VBI;CI;10.276.012;0,491;
SARE11;FII SANT REN;CI;92.343.290;0,316;
TRBL11;FII SDI LOG;CI;7.739.092;0,342;
SPXS11;FII SPX SYN;CI;20.189.040;0,123;
SNCI11;FII SUNO CRI;CI  ER;4.200.000;0,272;
SNEL11;FII SUNO EL;CI  ER;66.143.648;0,410;
SNFF11;FII SUNOFOFI;CI  ER;4.528.000;0,232;
TEPP11;FII TEL PROP;CI;4.221.967;0,263;
TGAR11;FII TG ATIVO;CI;23.567.968;1,526;
TVRI11;FII TIVIO RI;CI;15.919.690;1,005;
TRXF11;FII TRX REAL;CI;20.035.563;1,489;
URPR11;FII URCA REN;CI;11.733.895;0,466;
VGHF11;FII VALOR HE;CI;164.721.683;0,905;
VGIP11;FII VALORAIP;CI;11.787.247;0,712;
VGIR11;FII VALREIII;CI;146.101.287;0,971;
VCJR11;FII VECTIS;CI;14.723.970;0,897;
VGRI11;FII VGRI;CI;35.021.736;0,202;
VIUR11;FII VINCI IU;CI;26.946.220;0,107;
VILG11;FII VINCI LG;CI;14.997.396;0,904;
VINO11;FII VINCI OF;CI;82.826.295;0,317;
VISC11;FII VINCI SC;CI;28.828.640;2,171;
WHGR11;FII WHG REAL;CI;30.912.379;0,191;
XPCI11;FII XP CRED;CI;8.701.552;0,500;
XPIN11;FII XP INDL;CI  ER;7.150.422;0,354;
XPLG11;FII XP LOG;CI;31.175.931;2,306;
XPML11;FII XP MALLS;CI  ER;55.320.191;4,247;
XPSF11;FII XP SELEC;CI;43.302.140;0,194;
Quantidade Teórica Total;;;4.228.792.013;100,000
Redutor;;;41.034.753,82588342
