IBLV - Carteira do Dia 28/04/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;3.443.525.029;3,246;
ABEV3;AMBEV S/A;ON;5.858.069.729;3,684;
AURE3;AUREN;ON  ED  NM;8.446.271.808;3,343;
BBSE3;BBSEGURIDADE;ON      NM;2.549.642.725;4,785;
BRAP4;BRADESPAR;PN  ED  N1;3.780.213.289;2,812;
BBAS3;BRASIL;ON      NM;3.370.528.959;4,213;
CXSE3;CAIXA SEGURI;ON      NM;4.274.028.462;3,172;
CPLE6;COPEL;PNB ED  N2;7.334.297.868;3,692;
CPFE3;CPFL ENERGIA;ON      NM;2.600.940.213;4,532;
ELET3;ELETROBRAS;ON      N1;1.810.483.125;3,509;
ENGI11;ENERGISA;UNT     N2;1.626.349.998;3,303;
ENEV3;ENEVA;ON      NM;5.708.687.884;3,381;
EGIE3;ENGIE BRASIL;ON      NM;2.346.684.563;4,216;
EQTL3;EQUATORIAL;ON      NM;2.240.279.236;3,594;
FLRY3;FLEURY;ON      NM;5.113.135.929;2,962;
ISAE4;ISA ENERGIA;PN      N1;3.126.686.996;3,249;
ITSA4;ITAUSA;PN      N1;8.766.997.267;4,136;
ITUB4;ITAUUNIBANCO;PN      N1;2.788.391.188;4,308;
KLBN11;KLABIN S/A;UNT     N2;3.245.705.679;2,707;
PETR4;PETROBRAS;PN  EDR N2;1.701.222.018;2,317;
PSSA3;PORTO SEGURO;ON      NM;2.048.431.520;3,875;
SBSP3;SABESP;ON      NM;696.089.689;3,585;
SANB11;SANTANDER BR;UNT EJ;2.723.862.788;3,389;
SLCE3;SLC AGRICOLA;ON      NM;3.709.230.866;3,312;
TAEE11;TAESA;UNT     N2;3.146.440.118;5,051;
VIVT3;TELEF BRASIL;ON  EBG;2.849.134.744;3,452;
TIMS3;TIM;ON      NM;4.225.840.672;3,510;
VALE3;VALE;ON      NM;1.108.513.120;2,665;
Quantidade Teórica Total;;;100.639.685.482;100,000
Redutor;;;106.341.806,21875334
