SMLL - Carteira do Dia 07/07/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;112.455.686;0,508;
ABCB4;ABC BRASIL;PN  EJ  N2;73.106.941;0,468;
AERI3;AERIS;ON      NM;35.461.088;0,046;
ALOS3;ALLOS;ON      NM;476.976.044;3,226;
ALPA4;ALPARGATAS;PN      N1;153.041.091;0,405;
ALUP11;ALUPAR;UNT     N2;157.537.587;1,449;
ANIM3;ANIMA;ON      NM;256.712.285;0,335;
ARML3;ARMAC;ON      NM;171.598.756;0,191;
ASAI3;ASSAI;ON      NM;1.345.897.506;4,103;
AURE3;AUREN;ON      NM;323.738.747;0,939;
AZZA3;AZZAS 2154;ON      NM;136.643.320;1,662;
BPAN4;BANCO PAN;PN      N1;285.723.480;0,660;
BRSR6;BANRISUL;PNB     N1;202.536.440;0,700;
BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,518;
BLAU3;BLAU;ON      NM;29.680.739;0,113;
SOJA3;BOA SAFRA;ON      NM;46.233.405;0,158;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,231;
BRAP4;BRADESPAR;PN      N1;250.982.988;1,225;
AGRO3;BRASILAGRO;ON      NM;63.480.488;0,389;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,729;
BRAV3;BRAVA;ON      NM;451.311.960;2,403;
CAML3;CAMIL;ON      NM;96.218.424;0,151;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,090;
CBAV3;CBA;ON      NM;204.441.277;0,296;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,593;
COGN3;COGNA ON;ON      NM;1.872.454.628;1,613;
CSMG3;COPASA;ON      NM;188.462.398;1,598;
CSAN3;COSAN;ON      NM;1.160.227.510;2,451;
CURY3;CURY S/A;ON      NM;133.117.425;1,180;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,332;
CYRE3;CYRELA REALT;ON      NM;257.174.951;1,980;
DASA3;DASA;ON      NM;177.124.534;0,072;
DXCO3;DEXCO;ON      NM;301.760.723;0,511;
PNVL3;DIMED;ON  EJ  NM;71.516.013;0,202;
DIRR3;DIRECIONAL;ON  ED  NM;108.541.907;1,320;
ECOR3;ECORODOVIAS;ON      NM;329.302.615;0,718;
EVEN3;EVEN;ON      NM;189.773.600;0,411;
EZTC3;EZTEC;ON      NM;95.300.871;0,395;
FESA4;FERBASA;PN      N1;160.583.300;0,330;
FLRY3;FLEURY;ON      NM;455.988.366;1,757;
FRAS3;FRAS-LE;ON  EJ  N1;90.273.163;0,734;
GFSA3;GAFISA;ON      NM;6.018.559;0,034;
GOAU4;GERDAU MET;PN      N1;623.866.944;1,730;
GGPS3;GPS;ON      NM;392.414.992;1,906;
GRND3;GRENDENE;ON      NM;267.998.367;0,433;
SBFG3;GRUPO SBF;ON      NM;140.682.629;0,527;
GUAR3;GUARARAPES;ON      NM;81.942.860;0,214;
HBSA3;HIDROVIAS;ON      NM;1.359.441.204;1,420;
HYPE3;HYPERA;ON  EJ  NM;360.057.207;2,952;
IGTI11;IGUATEMI S.A;UNT     N1;198.474.750;1,344;
INTB3;INTELBRAS;ON      NM;114.286.318;0,512;
MYPK3;IOCHP-MAXION;ON      NM;131.546.398;0,522;
RANI3;IRANI;ON      NM;106.179.855;0,238;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;1,129;
JALL3;JALLESMACHAD;ON      NM;96.226.077;0,111;
JHSF3;JHSF PART;ON  ED  NM;292.921.855;0,460;
JSLG3;JSL;ON      NM;63.199.829;0,112;
KEPL3;KEPLER WEBER;ON      NM;174.021.783;0,418;
LAVV3;LAVVI;ON      NM;73.950.129;0,276;
LOGG3;LOG COM PROP;ON      NM;47.768.612;0,294;
LREN3;LOJAS RENNER;ON  EJ  NM;1.030.587.204;5,899;
LWSA3;LWSA;ON      NM;388.793.259;0,422;
MDIA3;M.DIASBRANCO;ON      NM;66.385.773;0,480;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,968;
POMO4;MARCOPOLO;PN      N2;666.378.439;1,607;
MRFG3;MARFRIG;ON      NM;237.618.211;1,563;
CASH3;MELIUZ;ON      NM;87.123.682;0,179;
LEVE3;METAL LEVE;ON      NM;52.865.876;0,470;
MILS3;MILLS;ON      NM;170.940.549;0,581;
BEEF3;MINERVA;ON      NM;433.214.256;0,663;
MDNE3;MOURA DUBEUX;ON      NM;51.943.755;0,372;
MOVI3;MOVIDA;ON      NM;121.834.637;0,247;
MRVE3;MRV;ON      NM;375.507.695;0,699;
MLAS3;MULTILASER;ON      NM;386.245.397;0,122;
MULT3;MULTIPLAN;ON  EJ  N2;314.311.970;2,528;
NATU3;NATURA;ON      NM;845.713.747;2,631;
OPCT3;OCEANPACT;ON      NM;126.724.185;0,263;
ODPV3;ODONTOPREV;ON      NM;252.219.521;0,876;
ONCO3;ONCOCLINICAS;ON      NM;573.410.284;0,845;
ORVR3;ORIZON;ON      NM;47.022.111;0,746;
PCAR3;P.ACUCAR-CBD;ON  ATZ NM;461.260.303;0,440;
PGMN3;PAGUE MENOS;ON      NM;196.817.622;0,197;
RECV3;PETRORECSA;ON      NM;274.981.010;1,196;
PETZ3;PETZ;ON      NM;295.519.280;0,338;
PLPL3;PLANOEPLANO;ON      NM;54.539.741;0,245;
POSI3;POSITIVO TEC;ON      NM;72.725.303;0,101;
PRNR3;PRINER;ON      NM;45.899.771;0,210;
QUAL3;QUALICORP;ON  ED  NM;278.971.994;0,153;
LJQQ3;QUERO-QUERO;ON      NM;195.546.894;0,150;
RAPT4;RANDON PART;PN      N1;176.650.127;0,459;
RCSL3;RECRUSUL;ON;1.374.716;0,001;
SAPR11;SANEPAR;UNT EJ  N2;201.077.484;2,239;
STBP3;SANTOS BRP;ON      NM;409.543.219;1,668;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,677;
SEER3;SER EDUCA;ON      NM;52.255.107;0,145;
SRNA3;SERENA;ON      NM;417.646.827;1,440;
CSNA3;SID NACIONAL;ON;727.459.637;1,768;
SIMH3;SIMPAR;ON      NM;227.030.128;0,324;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;1,041;
SMFT3;SMART FIT;ON      NM;328.547.988;2,272;
SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,106;
TAEE11;TAESA;UNT     N2;218.568.234;2,266;
TGMA3;TEGMA;ON      NM;32.001.079;0,348;
TEND3;TENDA;ON      NM;120.609.176;0,867;
TUPY3;TUPY;ON      NM;143.716.238;0,769;
UNIP6;UNIPAR;PNB;50.800.579;0,898;
USIM5;USIMINAS;PNA     N1;515.193.199;0,682;
VLID3;VALID;ON      NM;76.026.408;0,561;
VAMO3;VAMOS;ON      NM;485.166.826;0,570;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;0,993;
VVEO3;VIVEO;ON      NM;178.485.735;0,062;
VULC3;VULCABRAS;ON      NM;94.135.247;0,610;
PORT3;WILSON SONS;ON      NM;185.687.654;0,962;
YDUQ3;YDUQS PART;ON      NM;260.249.057;1,257;
Quantidade Teórica Total;;;29.983.265.337;100,000
Redutor;;;151.377.574,60690055
