;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AAGR11;INDEFINIDO;98,40;5.902,87;N/A;1,07;1,11 %;3,49 %;7,07 %;9,28 %;1,16 %;1,18 %;1,33 %;9,28 %;1,17 %;2,29 %;16,06 %;N/A;N/A;N/A;0,00 %;0,00 %;0,00 %;0,00 %;0;62,76;0;N/A;N/A;N/A
2;AAZQ11;INDEFINIDO;6,56;758.927,52;0,76;0,10;1,41 %;3,94 %;8,01 %;16,04 %;1,31 %;1,34 %;1,34 %;14,67 %;-6,53 %;-5,21 %;-11,12 %;208.485.205,84;8,67;0,76;1,10 %;0,00 %;0,00 %;0,00 %;0;18,13;30.136;N/A;N/A;N/A
3;ABCP11;SHOPPINGS;74,71;61.348,22;0,75;0,70;0,91 %;2,74 %;4,90 %;9,85 %;0,91 %;0,82 %;0,82 %;8,96 %;7,24 %;8,22 %;25,24 %;478.490.392,68;101,61;0,74;0,61 %;10,66 %;11,34 %;19,26 %;2;16,62;15.668;N/A;N/A;N/A
4;AFHI11;PAPÉIS;94,85;1.197.618,57;0,99;0,93;0,98 %;2,96 %;6,03 %;12,30 %;0,99 %;1,01 %;1,03 %;10,11 %;-1,00 %;-0,03 %;12,91 %;435.416.167,85;95,58;0,99;0,97 %;0,64 %;1,62 %;7,99 %;14;6,03;42.404;N/A;N/A;N/A
5;AGRX11;OUTROS;7,31;453.370,00;N/A;0,09;0,97 %;3,64 %;7,89 %;15,97 %;1,21 %;1,32 %;1,33 %;13,04 %;-6,72 %;-5,82 %;2,68 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;19,22;0;N/A;N/A;N/A
6;AIEC11;LAJES CORPORATIVAS;44,54;647.812,00;0,53;0,62;1,34 %;4,08 %;8,26 %;16,84 %;1,36 %;1,38 %;1,40 %;15,37 %;-11,77 %;-10,59 %;1,86 %;408.907.306,13;84,75;0,53;0,86 %;-9,37 %;-8,59 %;-7,53 %;16;12,93;18.699;N/A;N/A;N/A
7;AJFI11;SHOPPINGS;7,42;646.233,61;0,61;0,07;0,93 %;2,61 %;4,84 %;8,82 %;0,87 %;0,81 %;0,88 %;8,07 %;-6,96 %;-6,09 %;-13,00 %;387.523.963,60;N/A;N/A;N/A;N/A;N/A;N/A;14;14,11;13.438;N/A;N/A;N/A
8;ALMI11;LAJES CORPORATIVAS;600,00;19.930,22;0,27;5,00;0,88 %;1,41 %;2,40 %;2,40 %;0,47 %;0,40 %;0,20 %;2,40 %;0,83 %;1,72 %;-9,55 %;241.578.065,81;2.046,78;0,29;0,00 %;-0,05 %;-0,05 %;0,90 %;15;32,19;2.105;N/A;N/A;N/A
9;ALZC11;PAPÉIS;92,00;247.795,91;1,44;1,25;1,35 %;2,61 %;6,41 %;7,62 %;0,87 %;1,07 %;1,27 %;7,62 %;-0,57 %;0,77 %;2,77 %;118.155.565,38;N/A;N/A;N/A;N/A;N/A;N/A;14;19,12;8.102;N/A;N/A;N/A
10;ALZM11;FUNDO DE FUNDOS;7,19;233.698,17;0,90;0,09;1,16 %;3,41 %;6,69 %;13,38 %;1,14 %;1,12 %;1,12 %;11,17 %;-3,18 %;-2,06 %;0,34 %;122.568.479,22;8,07;0,89;1,05 %;-91,28 %;-91,19 %;-90,82 %;14;9,21;12.022;N/A;N/A;N/A
11;ALZR11;MISTO;101,20;1.960.415,26;0,97;0,73;0,71 %;2,14 %;4,18 %;8,49 %;0,71 %;0,70 %;0,71 %;6,99 %;-2,03 %;-1,34 %;-0,63 %;1.290.578.615,61;105,55;0,96;0,71 %;-1,25 %;-0,56 %;7,40 %;18;8,31;157.190;N/A;N/A;N/A
