IBXL - Carteira do Dia 15/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,319;
ABEV3;AMBEV S/A;ON;4.394.245.879;3,141;
ASAI3;ASSAI;ON      NM;1.349.645.897;0,889;
AZUL4;AZUL;PN      N2;327.593.725;0,271;
B3SA3;B3;ON      NM;5.694.552.584;4,163;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,048;
BBDC4;BRADESCO;PN      N1;5.146.576.868;4,377;
BBAS3;BRASIL;ON  EJ  NM;1.420.949.112;3,736;
BRFS3;BRF SA;ON      NM;1.677.525.446;1,142;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;2,090;
BHIA3;CASAS BAHIA;ON  EG  NM;94.463.137;0,058;
CCRO3;CCR SA;ON      NM;995.335.937;0,703;
CMIG4;CEMIG;PN      N1;1.437.415.777;0,809;
CIEL3;CIELO;ON      NM;1.095.462.329;0,242;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,822;
CSAN3;COSAN;ON      NM;1.168.097.881;1,072;
CYRE3;CYRELA REALT;ON  ED  NM;265.784.616;0,319;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;4,066;
EMBR3;EMBRAER;ON      NM;734.632.705;0,865;
ENEV3;ENEVA;ON      NM;1.578.931.315;1,048;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,875;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,294;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,677;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,987;
HYPE3;HYPERA;ON      NM;409.490.388;0,733;
ITSA4;ITAUSA;PN      N1;5.488.662.093;2,741;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.593.832;7,780;
JBSS3;JBS;ON      NM;1.134.986.472;1,341;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,761;
RENT3;LOCALIZA;ON      NM;852.600.726;2,745;
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,818;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,344;
MRFG3;MARFRIG;ON      NM;292.587.273;0,139;
BEEF3;MINERVA;ON      NM;261.036.182;0,095;
MRVE3;MRV;ON      NM;376.187.582;0,201;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,378;
PETR3;PETROBRAS;ON      N2;3.701.760.571;6,810;
PETR4;PETROBRAS;PN      N2;4.566.445.852;7,951;
PRIO3;PETRORIO;ON  ED  NM;798.274.909;1,861;
RADL3;RAIADROGASIL;ON  EJ  NM;1.263.596.819;1,837;
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,641;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,378;
SBSP3;SABESP;ON      NM;340.001.799;1,195;
CSNA3;SID NACIONAL;ON;600.865.451;0,522;
SUZB3;SUZANO S.A.;ON  EJ  NM;683.452.836;1,766;
TOTS3;TOTVS;ON      NM;514.122.351;0,867;
USIM5;USIMINAS;PNA     N1;515.117.391;0,221;
VALE3;VALE;ON      NM;4.427.123.466;16,019;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,192;
WEGE3;WEG;ON      NM;1.481.593.024;2,651;
Quantidade Teórica Total;;;81.280.090.108;100,000
Redutor;;;93.747.725,04820925
