IBXX - Carteira do Dia 15/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,275;
ALOS3;ALLOS;ON      NM;532.616.595;0,608;
ALPA4;ALPARGATAS;PN      N1;208.965.950;0,082;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,709;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,182;
ASAI3;ASSAI;ON      NM;1.349.645.897;0,767;
AURE3;AUREN;ON  ED  NM;301.966.319;0,172;
AZUL4;AZUL;PN      N2;327.593.725;0,234;
B3SA3;B3;ON      NM;5.694.552.584;3,590;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,904;
BBDC3;BRADESCO;ON      N1;1.500.728.902;0,977;
BBDC4;BRADESCO;PN      N1;5.146.576.868;3,774;
BRAP4;BRADESPAR;PN      N1;251.003.438;0,262;
BBAS3;BRASIL;ON  EJ  NM;1.420.949.112;3,222;
BRKM5;BRASKEM;PNA     N1;265.479.055;0,191;
BRFS3;BRF SA;ON      NM;1.677.525.446;0,985;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,802;
CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,270;
BHIA3;CASAS BAHIA;ON  EG  NM;94.463.137;0,050;
CBAV3;CBA;ON      NM;209.089.947;0,041;
CCRO3;CCR SA;ON      NM;995.335.937;0,606;
CMIG4;CEMIG;PN      N1;1.437.415.777;0,698;
CIEL3;CIELO;ON      NM;1.095.462.329;0,209;
COGN3;COGNA ON;ON      NM;1.815.524.541;0,264;
CSMG3;COPASA;ON  ED  NM;188.469.206;0,160;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,709;
CSAN3;COSAN;ON      NM;1.168.097.881;0,925;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,301;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,338;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,072;
CYRE3;CYRELA REALT;ON  ED  NM;265.784.616;0,274;
DXCO3;DEXCO;ON      NM;303.055.637;0,104;
DIRR3;DIRECIONAL;ON  ED  NM;107.596.799;0,099;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,135;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,506;
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,531;
EMBR3;EMBRAER;ON      NM;734.632.705;0,746;
ENGI11;ENERGISA;UNT     N2;290.435.910;0,639;
ENEV3;ENEVA;ON      NM;1.578.931.315;0,904;
EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,485;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,617;
EZTC3;EZTEC;ON      NM;91.514.307;0,073;
FLRY3;FLEURY;ON      NM;345.269.967;0,270;
GGBR4;GERDAU;PN      N1;1.118.525.506;1,116;
GOAU4;GERDAU MET;PN      N1;660.411.219;0,299;
GOLL4;GOL;PN      N2;198.184.909;0,076;
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,135;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,584;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,149;
