IDIV - Carteira do Dia 13/09/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;115.052.073;0,435;
ALUP11;ALUPAR;UNT     N2;252.050.152;1,467;
AURE3;AUREN;ON      NM;522.550.141;1,430;
B3SA3;B3;ON      NM;985.914.193;2,547;
BRSR6;BANRISUL;PNB     N1;349.889.871;0,870;
BBSE3;BBSEGURIDADE;ON      NM;573.693.332;3,598;
BRAP4;BRADESPAR;PN      N1;434.359.310;1,927;
BBAS3;BRASIL;ON  EJ  NM;441.736.477;4,102;
AGRO3;BRASILAGRO;ON      NM;103.373.073;0,589;
CXSE3;CAIXA SEGURI;ON      NM;895.529.339;1,994;
CMIG3;CEMIG;ON      N1;624.311.576;2,397;
CMIG4;CEMIG;PN      N1;1.633.620.444;4,012;
CSMG3;COPASA;ON      NM;326.144.354;1,177;
CPLE3;COPEL;ON      N2;2.221.910.319;3,607;
CPLE6;COPEL;PNB     N2;2.906.075.407;5,009;
CPFE3;CPFL ENERGIA;ON      NM;324.869.557;2,211;
CMIN3;CSNMINERACAO;ON      N2;1.921.813.481;1,622;
DIRR3;DIRECIONAL;ON      NM;186.195.343;0,749;
EGIE3;ENGIE BRASIL;ON      NM;364.088.918;3,016;
FESA4;FERBASA;PN  EJ  N1;70.076.425;0,687;
FLRY3;FLEURY;ON  EJ  NM;597.486.735;1,722;
GGBR4;GERDAU;PN      N1;1.050.894.109;5,308;
GOAU4;GERDAU MET;PN      N1;1.142.835.986;2,665;
GRND3;GRENDENE;ON      NM;464.031.737;0,650;
RANI3;IRANI;ON      NM;177.830.262;0,410;
ITSA4;ITAUSA;PN      N1;1.218.083.071;2,217;
JBSS3;JBS;ON      NM;827.978.031;3,082;
JHSF3;JHSF PART;ON  ED  NM;478.509.559;0,465;
KEPL3;KEPLER WEBER;ON      NM;305.494.244;0,723;
KLBN11;KLABIN S/A;UNT     N2;659.756.811;2,945;
LAVV3;LAVVI;ON      NM;127.797.018;0,213;
MRFG3;MARFRIG;ON      NM;506.319.782;0,756;
LEVE3;METAL LEVE;ON      NM;66.610.974;0,664;
BEEF3;MINERVA;ON      NM;451.720.888;0,763;
PETR3;PETROBRAS;ON      N2;673.363.331;4,872;
PETR4;PETROBRAS;PN      N2;816.746.192;5,376;
PSSA3;PORTO SEGURO;ON      NM;314.138.706;1,647;
RAPT4;RANDON PART;PN      N1;305.619.969;0,741;
ROMI3;ROMI;ON      NM;77.995.974;0,203;
SANB11;SANTANDER BR;UNT;475.889.848;2,535;
CSNA3;SID NACIONAL;ON;805.859.909;1,922;
TAEE11;TAESA;UNT     N2;378.230.466;2,582;
TASA4;TAURUS ARMAS;PN      N2;118.459.276;0,373;
TGMA3;TEGMA;ON      NM;55.378.113;0,285;
VIVT3;TELEF BRASIL;ON  EJ;387.904.078;3,257;
TRPL4;TRAN PAULIST;PN      N1;523.708.243;2,483;
TRIS3;TRISUL;ON      NM;123.628.726;0,143;
UNIP6;UNIPAR;PNB;79.205.091;1,268;
USIM5;USIMINAS;PNA     N1;891.406.254;1,193;
VALE3;VALE;ON      NM;371.389.990;4,930;
WIZC3;WIZ CO;ON      NM;130.260.051;0,161;
Quantidade Teórica Total;;;29.857.787.209;100,000
Redutor;;;63.780.283,29656273
