TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;7,09;;-3,19;0,83;0,31;30,10;1,60;-22,81;45,33;86,24;40,90;0,75;0,73;-3,75;-0,39;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;649.693,71;8,58;-2,22;-0,03;838.696.065,44
ABCB4;24,59;6,41;6,01;1,02;0,10;25,50;17,06;15,50;5,46;5,46;;;0,93;-2,84;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;17.414.648,39;24,15;4,09;-0,33;5.826.258.600,64
ABEV3;12,63;5,78;13,19;2,20;1,44;50,30;22,59;18,29;10,68;9,93;-0,75;-0,15;2,41;53,68;-1,98;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;357.991.792,94;5,73;0,96;0,87;198.970.914.376,92
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,55;;-6,24;0,84;0,18;12,62;9,03;-3,39;2,34;5,86;3,51;1,26;0,21;0,83;-0,55;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;2.839.092,16;0,66;-0,09;-0,03;683.322.163,15
AESB3;10,32;;39,37;1,39;0,31;35,54;28,78;4,90;6,70;16,66;9,96;2,06;1,93;19,02;-0,38;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;26.490.598,74;7,43;0,26;-0,58;6.211.889.849,52
AFLT3;7,15;3,67;14,72;1,72;1,44;57,31;45,58;44,72;14,44;14,07;-0,38;-0,05;6,58;14,79;-1,80;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;5.952,24;4,15;0,49;-0,20;451.055.605,00
AGRO3;23,70;13,55;9,49;1,11;0,69;30,65;20,17;20,86;9,81;11,67;1,85;0,21;1,98;3,39;-1,13;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;9.378.962,77;21,40;2,50;-0,22;2.433.597.622,80
AGXY3;1,67;2,37;-1,13;0,28;0,04;12,31;3,90;-2,43;0,70;3,29;2,59;1,03;0,03;1,25;-0,17;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;467.637,29;6,00;-1,48;0,00;285.277.731,63
AHEB3;16,10;;1,41;8,24;0,37;33,84;21,93;17,66;1,14;1,12;-0,02;-0,17;0,25;2,40;-0,65;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;5.567,50;1,95;11,39;0,00;137.681.829,04
