TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;73,34;0,550000;9,61;110,84;0,66;65.933,38;1,42;2,43;15,35;521.976.248,89;13.433,00;;4.709.082,00
ADSH11;10,65;0,070000;0,66;;;3.778.089,95;;;;;;;0,00
AFHF11;10,11;0,130000;4,95;10,22;0,99;111.573,86;16,53;;;51.114.058,37;1.021,00;;5.000.000,00
AFHI11;95,12;1,030000;12,73;95,33;1,00;673.437,00;6,53;0,28;12,00;456.555.370,03;38.646,00;;4.789.190,00
AIEC11;56,48;0,380000;7,29;76,01;0,74;284.449,05;8,22;-22,67;4,15;366.755.058,46;11.513,00;;4.824.987,00
AJFI11;8,17;0,058000;6,73;11,06;0,74;148.284,76;3,55;;;371.925.482,96;9.532,00;;33.625.978,00
ALMI11;625,00;2,698400;6,41;2.044,19;0,31;10.872,55;0,00;;-2,07;227.267.303,51;1.843,00;;111.177,00
ALZC11;7,48;0,100000;16,10;9,38;0,80;214.388,81;0,61;;4,60;183.000.003,55;10.920,00;;19.515.485,00
ALZM11;6,32;0,080000;0,00;7,46;0,85;;3,80;-6,90;-12,36;113.203.496,22;12.195,00;Ativa;15.180.540,00
ALZR11;10,03;0,083550;10,09;10,67;0,94;2.882.952,00;10,52;1,89;3,75;1.755.504.582,43;201.297,00;;164.512.251,00
ANCR11B;3.221,00;1,440191;0,04;119,55;26,94;;1,43;;-2,39;4.286.739.820,25;247,00;;35.856.709,00
APTO11;8,30;0,100000;12,77;9,78;0,85;8.282,10;11,79;-1,52;5,59;45.095.218,73;7.626,00;;4.612.227,00
APXM11;64,15;0,387259;7,20;125,60;0,51;83.690,90;0,56;;;355.329.617,14;687,00;;2.829.142,00
APXR11;99,99;;0,00;75,37;1,33;18,63;0,06;;;8.257.591,09;178,00;;109.567,00
APXU11;100,00;;0,00;74,82;1,34;16.968,37;19,01;;;7.597.609,10;50,00;;101.542,00
AQLL11;385,03;;0,00;788,47;0,49;;0,26;;;114.972.943,23;83,00;;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;;114.054,00
AROA11;1,36;0,007600;7,63;0,94;1,45;10.644,14;1,47;11,99;;158.451.747,39;6.383,00;;167.926.832,00
ARRI11;4,64;0,070000;21,55;8,43;0,55;130.895,43;3,21;-5,90;-7,70;174.647.296,59;23.191,00;;20.726.973,00
ARTE11;7,62;0,120000;13,71;10,40;0,73;96.924,33;1,74;;;98.835.743,91;877,00;;9.499.643,00
ARXD11;7,90;0,110000;14,07;9,13;0,86;83.785,71;1,06;-3,75;5,55;79.480.571,79;2.050,00;;8.700.768,00
ASRF11;10.974,00;256,328699;0,00;9.528,99;1,15;10.974,00;0,51;;;38.115.963,70;95,00;;4.000,00
ATCR11;0,00;0,342911;0,00;68,43;;;1,26;;;63.568.451,78;33,00;;928.908,00
ATSA11;60,00;1,200000;5,78;74,32;0,81;3.266,76;3,31;2,00;1,11;130.144.115,45;303,00;;1.751.141,00
ATWN11;0,00;;0,00;2.071,96;;;0,07;;;333.082.284,97;2,00;;160.757,00
AURB11;80,70;0,500000;5,90;80,07;1,01;0,00;8,79;;;86.942.080,23;17,00;;1.085.780,00
AZPE11;0,00;0,137000;0,00;9,99;;;4,33;;;124.825.790,02;1,00;;12.500.000,00
AZPL11;7,46;0,085000;12,27;8,60;0,87;636.137,10;1,96;;;360.697.172,42;5.764,00;;41.922.689,00
BARI11;79,20;0,760800;2,16;78,48;1,01;0,00;6,74;-0,15;6,62;363.696.267,15;31.765,00;;4.634.191,00
BBFI11;5,92;361,119836;6.100,00;33,91;0,17;154.597,00;392,07;28,01;-82,53;4.408.674,69;5.522,00;;130.000,00
BBFO11;68,80;0,950000;14,30;74,21;0,93;481.118,86;2,24;8,19;8,72;297.121.050,89;11.450,00;;4.003.900,00
BBIG11;5,62;0,020000;15,45;9,58;0,59;1.003.730,24;3,68;;;949.677.063,57;38.108,00;;99.120.994,00
BBIM11;0,00;0,340000;0,00;0,00;;;;-24,05;;0,00;0,00;Ativa;0,00
