TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;132,43;0,70;31,40;6,27;3,54;50,56;21,14;18,35;22,96;27,82;0,57;0,13;5,76;14,26;-5,87;2,68;19,97;11,29;15,19;0,57;0,43;0,62;6,82;31,45;;21,12;4,22;;38.809.313.379,00
AA;35,72;1,12;-9,85;1,51;0,45;6,99;-4,52;-6,17;41,38;-17,88;-4,43;0,50;0,61;4,66;-0,66;1,45;-15,31;-4,60;-9,04;0,30;0,70;0,75;-4,67;;;23,67;-3,63;;6.413.847.480,00
AACG;1,01;;-3,11;1,41;0,45;51,68;-31,49;-32,34;;-2,59;0,61;-0,27;1,01;-0,97;-0,52;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;176,03;;;0,72;-0,32;;32.269.500,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;14,11;;11,24;-1,78;0,15;62,46;6,19;1,56;2,83;10,30;7,48;;0,18;-1,09;-0,19;0,62;-15,80;1,30;10,71;-0,08;1,08;0,84;3,46;-10,26;;-7,94;1,26;;9.238.618.448,00
AAME;1,94;2,06;-106,69;0,37;0,10;9,73;1,45;-0,20;22,15;6,40;-8,23;-0,21;0,21;;-0,10;;-0,35;-0,10;2,04;0,28;0,72;0,49;0,13;;;5,26;-0,02;;39.580.462,00
AAN;7,37;6,78;79,26;0,33;0,12;52,31;0,68;0,13;0,40;24,82;9,33;0,20;0,10;-1,79;-0,22;0,87;0,41;0,15;1,20;0,38;0,62;1,17;3,58;-43,87;;22,60;0,09;;223.763.518,00
AAOI;12,04;;-8,25;2,15;1,19;27,07;-21,42;-25,75;-19,36;-11,21;-1,29;0,28;2,12;5,83;-2,13;1,85;-26,08;-14,40;-14,12;0,55;0,45;0,56;-4,04;;;5,60;-1,46;;462.313.124,00
AAON;85,25;0,42;39,16;9,46;7,39;34,15;19,51;15,20;25,30;30,63;0,13;0,04;5,95;24,64;-13,06;3,23;24,16;18,87;23,59;0,78;0,22;1,24;21,91;33,22;;9,01;2,18;;6.954.839.925,00
AAP;78,42;1,28;25,58;1,85;0,38;42,04;2,76;1,65;7,68;19,53;4,21;0,51;0,42;4,37;-0,79;1,20;7,25;1,49;6,20;0,21;0,79;0,90;3,33;-41,22;;42,31;3,07;;4.669.989.420,00
AAPL;165,13;0,58;23,70;34,41;7,21;44,12;30,65;25,84;18,36;20,26;0,27;0,47;6,12;262,36;-12,15;1,07;145,20;30,43;59,07;0,21;0,79;1,18;7,61;10,26;;4,80;6,97;;2.549.917.809.530,00
