SMLL - Carteira do Dia 15/12/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;2,122;
TTEN3;3TENTOS;ON      NM;113.777.586;0,402;
ABCB4;ABC BRASIL;PN      N2;66.485.201;0,516;
AERI3;AERIS;ON      NM;690.257.429;0,214;
AESB3;AES BRASIL;ON      NM;317.103.937;1,253;
AALR3;ALLIAR;ON      NM;5.721.492;0,021;
ALOS3;ALLOS;ON      NM;532.616.595;4,682;
ALPA4;ALPARGATAS;PN      N1;208.965.950;0,628;
ALUP11;ALUPAR;UNT     N2;145.652.351;1,427;
AMBP3;AMBIPAR;ON      NM;97.960.040;0,544;
ANIM3;ANIMA;ON      NM;256.834.750;0,374;
ARZZ3;AREZZO CO;ON      NM;62.305.891;1,402;
ARML3;ARMAC;ON      NM;171.399.108;0,967;
AZUL4;AZUL;PN      N2;327.593.725;1,803;
BPAN4;BANCO PAN;PN      N1;327.696.379;0,908;
BRSR6;BANRISUL;PNB     N1;202.191.040;0,835;
BMOB3;BEMOBI TECH;ON      NM;83.609.718;0,377;
BLAU3;BLAU;ON      NM;29.830.740;0,158;
BRAP4;BRADESPAR;PN      N1;251.003.438;2,015;
AGRO3;BRASILAGRO;ON      NM;59.736.251;0,498;
CAML3;CAMIL;ON      NM;97.829.997;0,258;
BHIA3;CASAS BAHIA;ON  EG  NM;94.463.137;0,387;
CBAV3;CBA;ON      NM;209.089.947;0,313;
CEAB3;CEA MODAS;ON      NM;103.292.235;0,294;
CIEL3;CIELO;ON      NM;1.095.462.329;1,607;
CLSA3;CLEARSALE;ON      NM;56.086.865;0,070;
COGN3;COGNA ON;ON      NM;1.815.524.541;2,039;
CSMG3;COPASA;ON  ED  NM;188.469.206;1,230;
CURY3;CURY S/A;ON      NM;120.291.325;0,709;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,555;
CYRE3;CYRELA REALT;ON  ED  NM;265.784.616;2,116;
DASA3;DASA;ON      NM;142.275.891;0,433;
DXCO3;DEXCO;ON      NM;303.055.637;0,804;
PNVL3;DIMED;ON      NM;71.294.090;0,295;
DIRR3;DIRECIONAL;ON  ED  NM;107.596.799;0,760;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;1,038;
EMBR3;EMBRAER;ON      NM;734.632.705;5,750;
ENAT3;ENAUTA PART;ON      NM;144.355.359;0,726;
ESPA3;ESPACOLASER;ON      NM;188.667.444;0,080;
EVEN3;EVEN;ON      NM;198.958.240;0,504;
EZTC3;EZTEC;ON      NM;91.514.307;0,563;
FESA4;FERBASA;PN  EJ  N1;40.495.100;0,597;
FLRY3;FLEURY;ON      NM;345.269.967;2,081;
FRAS3;FRAS-LE;ON      N1;89.492.359;0,492;
GFSA3;GAFISA;ON      NM;61.184.833;0,123;
GOAU4;GERDAU MET;PN      N1;660.411.219;2,306;
GOLL4;GOL;PN      N2;198.184.909;0,586;
GGPS3;GPS;ON      NM;366.447.063;2,284;
GRND3;GRENDENE;ON      NM;268.150.259;0,605;
SBFG3;GRUPO SBF;ON      NM;146.019.325;0,566;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;1,150;
GUAR3;GUARARAPES;ON      NM;81.927.760;0,181;
HBSA3;HIDROVIAS;ON      NM;759.856.429;0,933;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;1,749;
IFCM3;INFRACOMM;ON      NM;303.570.391;0,168;
INTB3;INTELBRAS;ON      NM;114.430.507;0,851;
MYPK3;IOCHP-MAXION;ON      NM;130.262.282;0,554;
RANI3;IRANI;ON      NM;102.762.865;0,375;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;1,327;
JALL3;JALLESMACHAD;ON      NM;99.892.997;0,257;
JHSF3;JHSF PART;ON      NM;276.516.565;0,444;
KEPL3;KEPLER WEBER;ON      NM;176.536.116;0,654;
LAVV3;LAVVI;ON  ED  NM;73.850.129;0,202;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,856;
LOGG3;LOG COM PROP;ON      NM;58.864.307;0,448;
LOGN3;LOG-IN;ON      NM;26.261.862;0,367;
LUPA3;LUPATECH;ON      NM;30.028.001;0,022;
POMO4;MARCOPOLO;PN      N2;563.920.799;1,258;
MRFG3;MARFRIG;ON      NM;292.587.273;0,924;
MATD3;MATER DEI;ON      NM;108.589.172;0,305;
