"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGLU3","Magazine Luiza","108.019.800","2,04","-0,97%"
"B3SA3","B3","66.926.100","12,73","+0,32%"
"HAPV3","Hapvida","63.737.000","3,48","+0,87%"
"BBDC4","Banco Bradesco","55.168.200","13,48","+0,37%"
"CIEL3","Cielo","41.786.100","5,28","+0,57%"
"VALE3","Vale","40.732.600","67,68","+3,31%"
"COGN3","Cogna","39.418.200","2,42","+2,11%"
"PETR4","Petrobras","37.186.100","42,69","+0,92%"
"AMER3","Americanas","24.180.300","0,59","+3,51%"
"OIBR3","Oi","24.007.400","1,05","-0,94%"
"ITUB4","Itaú Unibanco","22.821.200","34,54","-0,12%"
"MRVE3","MRV","21.921.000","7,30","+3,40%"
"ABEV3","Ambev","20.983.400","12,76","-0,70%"
"USIM5","Usiminas","20.479.700","10,11","+2,33%"
"GGBR4","Gerdau","19.410.300","21,21","+2,46%"
"ITSA4","Itaúsa","18.463.300","10,46","+0,38%"
"RAIL3","Rumo","14.352.100","23,43","-1,93%"
"SOMA3","Grupo Soma","13.397.700","7,09","+1,87%"
"PETZ3","Petz","13.297.100","3,55","+0,00%"
"AZUL4","Azul","13.198.400","12,20","+0,33%"
"PETR3","Petrobras","12.797.400","44,30","+1,82%"
"CMIG4","CEMIG","12.319.200","11,66","+1,83%"
"TIMS3","TIM","12.070.700","17,40","-3,81%"
"CVCB3","CVC","12.034.900","3,15","+0,32%"
"BBDC3","Banco Bradesco","11.874.200","12,28","+0,49%"
"BRKM5","Braskem","11.251.100","19,25","+10,32%"
"LREN3","Lojas Renner","10.531.100","14,40","-0,48%"
"RAIZ4","Raízen","10.342.200","3,89","+1,83%"
"CPLE6","Copel","9.541.100","10,21","+0,20%"
"SEQL3","Sequoia Logística","9.531.100","0,49","+2,08%"
"BBAS3","Banco do Brasil","9.489.500","57,87","-0,84%"
"PRIO3","PetroRio","9.044.900","45,40","+1,86%"
"GOLL4","GOL","8.933.400","2,57","+1,18%"
"ENEV3","Eneva","8.744.800","12,36","+2,15%"
"BEEF3","Minerva","8.631.500","6,52","+0,93%"
"VBBR3","Vibra Energia","8.623.000","24,26","+1,93%"
"QUAL3","Qualicorp","8.596.400","2,14","+5,42%"
