Data,B3SA3,CIEL3,CCRO3,CMIG4,COGN3,ITSA4,ITUB4,HYPE3,PCAR3,PETR4,PSSA3,USIM5,VALE3,VIIA3,VIVT3,ENBR3,BBDC3,BBDC4,ITUB3,PETR3,CMIN3,BRAP3,BRAP4,NTCO3,LREN3,RENT3,ALSO3,UGPA3,HAPV3,TAEE11,JBSS3,AMER3,SBSP3,BBAS3,ENAT3,CSNA3,ECOR3,YDUQ3,EZTC3,SULA11,LAME4,TEND3,RDOR3,GNDI3,CYRE3,TOTS3,CESP6,CPFE3,MULT3,CSAN3,ALPA4,ENEV3,EGIE3,CMIG3,QUAL3,BPAC11,TIMS3,BRML3,BOVA11,BRSR6,MGLU3,BIDI4,CVCB3,ANIM3,EMBR3,RAPT4,SMAL11,GOAU4,MRFG3,TAEE4,SANB4,SOMA3,RRRP3,POSI3,BPAN4,CASH3,IRBR3,LWSA3,BRFS3,SAPR11,TRPL4,ELET3,ELET6,NEOE3,EQTL3,DXCO3,LIGT3,WIZS3,MYPK3,SLCE3,GOLL4,RADL3,BEEF3,GGBR4,MDIA3,CRFB3,WEGE3,JHSF3,BRKM5,ARZZ3,ASAI3,VBBR3,BBSE3,CPLE6,AZUL4,PRIO3,SQIA3,RAIL3,LOGG3,SANB11,DIRR3,CSMG3,ODPV3,FLRY3,ENGI11,TGMA3,KLBN11,BIDI11,LCAM3,SUZB3,PETZ3,ABEV3,MRVE3
2020-01-02,13.56,7.97,17.95,10.55,12.2,12.66,29.25,33.79,,25.15,29.04,8.92,44.51,,41.97,20.6,27.43,29.11,24.55,26.62,,25.2,26.85,,51.31,48.98,49.59,24.38,13.18,25.0,24.26,65.18,58.4,48.28,14.93,14.09,16.3,45.16,51.69,54.73,11.0,30.77,,71.16,28.04,22.68,27.53,29.18,32.29,17.06,32.2,10.97,47.83,12.05,36.08,18.58,14.81,18.22,114.24,20.03,12.3,5.21,37.79,9.87,20.2,13.46,139.5,7.83,8.84,8.44,20.91,,,9.78,10.35,,36.26,,35.88,31.12,18.62,34.05,34.23,23.54,22.58,,23.32,12.2,21.46,22.27,37.17,22.66,11.04,18.31,38.63,22.67,17.29,7.02,26.9,62.75,,27.16,32.45,5.51,58.8,7.16,24.58,26.4,31.73,44.58,13.95,18.04,15.84,29.2,48.96,36.7,18.45,15.22,22.53,40.79,,18.16,20.94
2020-01-03,13.17,7.87,17.75,10.44,12.15,12.48,28.94,34.48,,24.95,28.3,8.83,44.18,,42.46,20.73,27.0,29.13,24.35,25.96,,25.3,27.23,,50.96,48.27,50.99,24.1,13.74,25.01,24.5,64.3,57.4,48.2,15.23,13.98,16.17,44.22,52.1,56.95,11.02,30.81,,72.5,29.56,23.16,27.75,29.0,32.29,17.39,32.2,11.07,48.11,12.15,36.83,18.59,14.84,18.63,113.8,19.89,12.19,5.3,37.36,9.98,20.41,13.54,140.9,7.84,9.04,8.34,21.46,,,9.57,10.79,,35.98,,35.94,30.4,18.15,33.53,34.09,23.2,22.31,,23.17,12.2,21.56,22.17,35.9,22.15,11.33,18.01,39.07,23.26,17.07,7.5,28.1,61.85,,27.0,32.1,5.5,56.76,7.57,24.46,25.63,30.69,44.58,13.94,18.19,16.03,28.43,49.14,37.58,19.07,16.07,23.34,40.65,,17.91,20.94
2020-01-06,13.04,7.67,17.3,10.58,11.99,12.45,28.51,33.69,,25.24,28.85,8.66,43.92,,42.05,20.57,26.85,28.61,24.1,26.81,,25.12,27.36,,50.91,47.71,50.64,23.57,13.31,25.03,23.92,63.9,56.52,47.56,15.02,13.64,16.08,45.07,52.34,56.56,10.89,30.85,,69.51,29.29,22.63,27.29,29.27,32.23,17.29,31.69,11.35,47.7,12.1,38.34,18.37,14.82,18.5,112.59,19.86,12.2,5.72,37.04,10.07,20.38,13.39,139.1,7.8,8.87,8.37,20.24,,,9.17,11.04,,35.64,,35.57,29.84,18.26,33.69,34.14,23.34,22.34,,23.22,12.87,21.46,21.98,34.25,21.72,11.32,17.96,39.54,22.24,17.12,7.53,29.56,61.47,,25.65,32.62,5.51,55.0,7.72,24.98,24.9,31.57,43.41,13.76,17.81,15.91,29.27,49.29,37.34,18.82,17.05,22.83,40.58,,17.99,20.65
2020-01-07,13.46,7.45,17.68,10.97,12.08,12.28,27.85,33.37,,25.14,28.84,8.75,44.24,,42.98,20.45,26.39,28.11,23.63,26.44,,25.41,27.48,,50.89,48.17,50.05,24.1,12.95,24.82,24.35,63.74,55.56,47.21,15.09,13.64,16.44,44.23,53.07,55.81,10.67,31.82,,67.13,29.38,22.72,26.65,28.94,32.31,17.6,32.41,11.27,47.8,12.68,37.36,18.56,14.98,18.8,112.24,19.95,12.17,5.81,37.53,10.81,20.5,13.54,139.4,7.86,9.14,8.24,19.95,,,9.51,11.03,,35.88,,35.16,30.48,18.13,34.56,34.66,23.4,22.22,,23.14,13.58,21.53,21.42,34.45,21.42,11.84,18.24,38.18,22.11,17.25,7.6,28.79,61.75,,25.61,32.64,5.54,56.82,7.73,25.08,25.27,31.88,43.14,13.84,17.54,15.5,29.57,48.72,37.29,18.85,17.74,23.3,41.1,,18.03,20.75
2020-01-08,13.43,7.28,17.56,11.28,12.0,12.1,27.4,32.93,,24.99,28.53,8.64,44.25,,43.41,20.42,25.99,27.67,23.39,26.01,,25.19,27.47,,51.22,47.94,51.56,23.91,12.68,24.32,24.95,64.59,54.74,46.77,14.92,13.62,16.48,43.97,53.62,55.61,10.59,31.57,,67.53,28.47,22.42,25.98,28.75,32.44,17.31,32.77,11.21,47.32,13.01,36.64,18.44,15.14,18.25,111.95,19.51,12.54,5.76,37.48,10.92,20.33,13.43,138.2,7.81,9.37,8.14,19.68,,,9.28,10.94,,36.02,,36.51,30.48,17.99,35.05,34.95,23.73,22.38,,22.9,12.67,21.36,21.55,35.81,21.7,11.97,18.31,38.52,21.7,16.6,7.48,30.23,60.87,,25.49,32.62,5.45,56.92,7.57,25.07,25.6,31.4,42.74,13.92,17.55,15.55,29.39,49.02,37.44,18.9,17.26,23.4,43.15,,17.94,20.39
2020-01-09,13.42,6.84,17.14,11.19,12.1,11.86,26.85,33.64,,24.91,28.62,8.58,43.67,,42.68,20.93,25.73,27.23,23.17,26.16,,25.1,27.12,,50.82,48.19,51.94,23.95,12.6,24.45,25.25,68.04,55.58,45.82,14.24,13.47,16.43,44.35,54.4,57.01,10.88,31.72,,67.9,28.33,22.79,26.59,29.27,32.24,17.12,33.56,11.38,47.46,12.77,36.91,18.61,14.94,18.51,111.66,19.26,12.99,5.72,36.68,10.81,20.19,13.82,138.8,7.82,9.59,8.14,19.47,,,9.36,10.94,,37.41,,36.84,30.48,17.93,35.09,35.47,23.67,22.65,,22.82,12.54,21.59,21.42,36.65,22.36,11.79,18.22,38.82,22.17,16.35,7.51,30.84,60.18,,24.82,32.53,5.61,57.28,7.28,24.22,25.93,31.32,42.06,13.94,17.65,15.73,29.94,49.28,37.41,19.12,17.15,23.75,43.04,,17.8,20.24
2020-01-10,13.31,6.88,17.16,11.35,12.2,11.78,26.61,33.82,,24.8,28.95,8.41,43.72,,43.75,21.31,25.28,26.73,22.89,26.05,,24.91,27.03,,50.98,47.23,52.05,23.9,12.34,24.52,25.12,66.78,55.37,44.75,14.61,13.63,16.37,44.55,54.79,56.48,10.86,32.4,,68.3,28.53,22.62,26.85,29.83,31.9,17.38,33.31,11.42,48.17,12.91,37.42,18.61,15.33,18.64,111.28,18.84,12.92,5.9,35.54,10.58,20.11,13.67,139.4,7.99,9.45,8.2,19.28,,,9.5,10.86,,37.43,,36.34,30.55,18.07,35.76,35.94,23.47,22.91,,22.87,12.45,21.43,21.26,37.24,21.66,11.74,18.46,39.19,22.4,16.69,7.53,30.49,59.75,,24.91,32.14,5.77,57.5,7.44,24.13,25.67,31.29,41.71,14.24,17.76,15.55,29.41,50.02,37.99,19.2,18.01,23.74,43.11,,17.87,20.04
2020-01-13,13.33,6.91,17.29,11.67,12.55,11.94,26.97,34.9,,24.85,28.91,8.77,45.3,,45.07,21.31,25.59,27.02,23.22,26.04,,25.83,28.17,,52.09,47.38,53.15,24.12,12.4,24.8,25.63,69.17,57.78,45.25,15.19,14.45,16.65,46.08,54.94,55.2,11.08,32.68,,69.48,29.07,22.84,26.59,29.72,32.24,17.82,33.49,11.4,49.08,13.18,38.61,18.72,15.34,19.04,113.08,19.04,13.52,5.97,35.16,10.71,20.46,13.55,141.9,8.41,9.71,8.21,19.45,,,9.66,11.13,,37.74,,36.7,30.86,18.32,35.85,36.07,23.89,22.91,,22.81,12.58,21.57,21.14,38.0,22.17,12.79,19.26,39.01,22.2,16.84,7.76,30.09,61.66,,25.44,31.91,5.95,58.3,7.76,24.48,25.95,31.07,42.45,14.45,17.86,15.69,29.27,49.89,37.91,20.11,17.96,23.75,44.7,,18.17,20.34
2020-01-14,13.42,6.97,17.86,11.79,12.79,12.07,26.97,35.49,,24.58,29.48,8.81,45.58,,46.06,21.31,25.65,26.99,23.1,25.83,,26.31,28.44,,51.43,47.58,53.99,24.38,12.42,24.88,25.6,68.35,59.04,45.01,15.2,14.22,17.36,47.05,56.19,56.54,11.44,34.1,,70.43,29.29,22.84,26.96,29.5,32.72,18.39,33.86,11.45,49.76,13.34,39.54,18.4,15.41,19.22,113.32,18.99,13.46,5.9,35.93,10.67,20.37,13.7,143.2,8.21,9.99,8.24,19.31,,,9.55,10.94,,37.49,,36.55,30.86,18.29,35.22,35.5,24.07,23.44,,22.4,12.64,21.55,21.07,37.99,22.5,12.69,18.89,38.74,22.17,17.18,7.95,30.33,61.85,,25.44,32.28,5.97,59.19,8.22,24.98,25.8,31.87,41.97,14.8,18.03,16.06,29.7,49.77,38.19,20.73,17.84,23.7,44.25,,18.07,20.79
2020-01-15,13.06,6.76,17.48,11.72,12.35,11.88,26.64,35.03,,24.21,29.27,8.64,45.44,,46.1,20.87,25.06,26.52,22.77,25.26,,26.4,28.51,,51.09,47.59,54.14,24.16,12.13,24.8,25.52,70.11,58.74,44.18,15.9,14.03,17.5,46.63,56.63,55.59,11.29,34.45,,72.38,28.84,22.9,26.75,29.71,32.69,18.09,34.07,11.63,49.16,13.32,39.02,18.27,15.42,19.13,112.18,18.7,13.38,5.99,34.99,10.93,20.0,13.56,142.5,8.22,10.47,8.3,18.93,,,9.45,11.03,,38.37,,36.47,30.88,18.29,35.06,35.39,24.31,23.25,,22.84,12.92,21.36,20.73,36.97,22.57,12.65,18.61,37.99,21.65,17.29,8.08,29.75,61.54,,25.13,32.32,5.98,59.3,8.26,26.57,24.97,32.66,41.01,15.26,18.21,15.95,29.49,49.28,38.1,20.29,18.08,23.31,44.94,,17.75,20.46
