CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2024-01-01;1;10100284.67;655992.79;0;0;9444291.88;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6288159.55;5478912.25;0;809247.3;3119257.18;105112.97;0;0;0;650002.6;0;0;0;4123262.09;7997634.84
00.332.266/0001-31;2024-02-01;1;9972241.05;205473.32;0;0;9766767.73;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5247499.9;4425814.19;0;821685.71;2950443.44;105937.62;0;0;0;650002.6;0;0;0;4148900.35;7855284.01
00.332.266/0001-31;2024-03-01;1;8205910.12;2438104.05;0;0;5767806.07;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5690169.83;4658454.25;0;1031715.58;1998689.14;105937.62;0;0;0;650002.6;0;0;0;3575421.91;6330051.27
00.613.094/0001-74;2024-01-01;1;569584.13;569584.13;0;0;0;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;544892.4;0;544892.4;0;22379.3;0;0;0;0;0;0;0;0;213229180.33;213251559.63
00.613.094/0001-74;2024-02-01;1;569584.13;569584.13;0;0;0;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;537780.09;0;537780.09;0;22379.3;0;0;0;0;0;0;0;0;213605316.97;213627696.27
00.613.094/0001-74;2024-03-01;1;1107750.3;569584.13;0;0;538166.17;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;213996299.59;214018678.89
00.762.723/0001-28;2024-01-01;1;162753.55;5435.14;0;0;157318.41;104700000;104700000;0;104700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;245715;20868.62;0;224846.38;15.85;47924.19;0;0;0;0;0;0;0;36596.22;84536.26
00.762.723/0001-28;2024-02-01;1;92776.1;4985.74;0;0;87790.36;104700000;104700000;0;104700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;264161.56;20868.61;0;243292.95;15.85;48626.95;0;0;0;0;0;0;0;27950.09;76592.89
00.762.723/0001-28;2024-03-01;1;4162950.51;5500;0;0;4157450.51;104700000;104700000;0;104700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;268904.67;20868.6;0;248036.07;15.85;48626.94;0;0;0;0;0;0;0;17249.5;65892.29
00.868.235/0001-08;2024-01-01;2;2602649.7;11911.04;0;0;2590738.66;110200000;110200000;0;110200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3784978.94;2586878.71;0;1198100.23;619998.61;51451.11;0;0;0;0;0;0;0;2370369.47;3041819.19
00.868.235/0001-08;2024-02-01;1;2497655.12;9296.86;0;0;2488358.26;110200000;110200000;0;110200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3771968.19;2573553.96;0;1198414.23;572108.41;51451.11;0;0;0;0;0;0;0;2234944.22;2858503.74
00.868.235/0001-08;2024-03-01;1;2750368.36;8504.31;0;0;2741864.05;110200000;110200000;0;110200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3492576.88;2271429.49;0;1221147.39;540452.59;51451.11;0;0;0;0;0;0;0;2182478.91;2774382.61
01.201.140/0001-90;2024-01-01;1;8693945.84;5260.09;0;0;8688685.75;465435882.36;465435882.36;0;0;0;465435882.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7351365.25;5848178.98;0;1503186.27;3963509.69;96900.4;0;0;0;35349.57;0;0;24566.75;270799.14;4391125.55
01.201.140/0001-90;2024-02-01;1;7477436.23;5322.67;0;0;7472113.56;465435882.36;465435882.36;0;0;0;465435882.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7029429.84;5360183.51;0;1669246.33;2458354.82;96900.4;0;0;0;25608.47;0;0;24566.75;247452.85;2852883.29
01.201.140/0001-90;2024-03-01;1;7559097.87;5562.4;0;0;7553535.47;465435882.36;465435882.36;0;0;0;465435882.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7285729.76;5393892.4;0;1891837.36;2462605.16;96900.4;0;0;0;46405.56;0;0;24566.75;272895.85;2903373.72
01.235.622/0001-61;2024-01-01;2;60281515.84;481619.76;;;59799896.08;2407474057.78;1663839744.78;340777389.25;599752093.35;;63679855.7;659630406.48;;;;;;;;;301325560.15;;;;209916705.4;;;;232392047.45;;;;;;934737525.72;3844612.51;768773621.98;162119291.23;60333770.57;2486037.45;;61935850.64;;;93839330.7;;1935085.14;323666993.89;544197068.39
01.235.622/0001-61;2024-02-01;1;118289106.39;362639.25;;;117926467.14;2463659433.15;1714043753.39;408723576.28;599752093.35;;58165308.1;647402775.66;;;;;;;;;304530127.6;;;;210716705.4;;;;234368846.76;;;;;;967246423.22;3532016.77;796397079.98;167317326.47;2038.92;2155064.37;;61962762.1;;;93574357.61;;1935085.14;315127769.42;474757077.56
01.235.622/0001-61;2024-03-01;1;73174372.44;692261.8;;;72482110.64;2486164697.49;1729568319.77;432187168.63;599752093.35;;56399024.27;641230033.52;;;;;;;;;310273143.59;;;;210716705.4;;;;235606528.73;;;;;;999492636.7;3596495.05;821965364.11;173930777.54;2038.92;2440029.96;;57097131.21;;;93574357.61;;1935085.14;309461204.53;464509847.37
