CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2020-01-01;1;2020-01-31;5429;;;;;;;;;;;;;;;;606485090.82;600578628.62;2800149;214.480953913524;0.000109;0;0.00552;-0.002572;0.008092;0
00.332.266/0001-31;2020-02-01;1;2020-02-29;5677;;;;;;;;;;;;;;;;604612632.89;601037769.14;2800149;214.644923945119;0.000109;0;0.00482;0.000764;0.004056;0
00.332.266/0001-31;2020-03-01;1;2020-03-31;5480;5444;20;0;0;0;0;0;1;0;0;0;8;6;0;1;603966723.88;603236013.02;2800149;215.429969269492;0.000109;0;0.003657;0.003657;0;0
00.332.266/0001-31;2020-04-01;1;2020-04-30;5494;;;;;;;;;;;;;;;;607260003.54;605203458.1;2800149;216.13259083713;0.000113;0;0.003261;0.003261;0;0
00.332.266/0001-31;2020-05-01;1;2020-05-31;5413;;;;;;;;;;;;;;;;610673558.55;607305839.86;2800149;216.883401511848;0.000108;0;0.003474;0.003474;0;0
00.332.266/0001-31;2020-06-01;1;2020-06-30;5451;5413;22;0;0;0;0;0;1;0;0;0;7;7;0;1;605981202.74;598996914.89;2800149;213.916086211841;0.000109;0;-0.00975;-0.013682;0.003932;0
00.332.266/0001-31;2020-07-01;1;2020-07-31;5504;;;;;;;;;;;;;;;;603665217.97;598487781.78;2800149;213.734262633881;0.00012;0;-0.00085;0;-0.00085;0
00.332.266/0001-31;2020-08-01;1;2020-08-31;5500;;;;;;;;;;;;;;;;605147644.38;599212018.77;2800149;213.992904938273;0.000119;0;0.00121;0.00121;0;0
00.332.266/0001-31;2020-09-01;2;2020-09-30;5452;5414;22;0;0;0;0;0;1;0;0;0;8;6;0;1;599980868.4;598013754.52;2800149;213.564976192338;0.00012;0;-0.002;-0.002;0;0
00.332.266/0001-31;2020-10-01;1;2020-10-31;5420;;;;;;;;;;;;;;;;599679241.4;597566107.39;2800149;213.405110724465;0.00012;0;-0.000749;-0.000749;0;0
