"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"24/04/2025","882,83 mi","-280,80 mi","-524,64 mi","54,70 mi","-132,10 mi"
"23/04/2025","1.671,85 mi","-1.210,13 mi","-247,50 mi","67,38 mi","-281,60 mi"
"22/04/2025","1.112,86 mi","-935,41 mi","-127,54 mi","-34,45 mi","-15,46 mi"
"17/04/2025","2.332,51 mi","-781,91 mi","-273,00 mi","-1.326,86 mi","49,25 mi"
"16/04/2025","-1.115,98 mi","564,08 mi","113,25 mi","231,88 mi","206,77 mi"
"15/04/2025","-68,61 mi","-169,87 mi","402,79 mi","-235,00 mi","70,68 mi"
"14/04/2025","-1.030,58 mi","934,84 mi","20,68 mi","-58,54 mi","133,59 mi"
"11/04/2025","-686,52 mi","645,68 mi","-27,87 mi","52,92 mi","15,80 mi"
"10/04/2025","-1.108,06 mi","354,94 mi","594,12 mi","64,58 mi","94,42 mi"
"09/04/2025","-857,82 mi","875,02 mi","-202,81 mi","63,37 mi","122,24 mi"
"08/04/2025","-641,34 mi","-318,70 mi","760,05 mi","65,81 mi","134,17 mi"
"07/04/2025","-1.771,25 mi","1.139,29 mi","289,32 mi","72,97 mi","269,67 mi"
"04/04/2025","-1.962,73 mi","536,86 mi","1.098,42 mi","92,89 mi","234,57 mi"
"03/04/2025","-590,34 mi","124,45 mi","407,03 mi","-57,57 mi","116,42 mi"
"02/04/2025","-566,21 mi","335,77 mi","21,84 mi","146,76 mi","61,84 mi"
"01/04/2025","-485,57 mi","587,04 mi","-101,97 mi","-10,91 mi","11,41 mi"
"31/03/2025","-1.821,24 mi","1.060,01 mi","482,80 mi","168,41 mi","110,02 mi"
"28/03/2025","-253,40 mi","723,89 mi","421,78 mi","-961,15 mi","68,89 mi"
"27/03/2025","748,19 mi","-464,88 mi","-196,50 mi","-104,01 mi","17,20 mi"
"26/03/2025","73,72 mi","697,98 mi","-92,59 mi","-729,41 mi","50,30 mi"
"25/03/2025","25,51 mi","135,70 mi","-71,11 mi","-150,25 mi","60,14 mi"
"24/03/2025","539,06 mi","-1.101,87 mi","347,74 mi","172,09 mi","42,98 mi"
"21/03/2025","2.019,50 mi","-1.059,05 mi","-342,65 mi","-269,35 mi","-348,46 mi"
"20/03/2025","998,39 mi","-1.032,03 mi","78,98 mi","-45,87 mi","0,53 mi"
"19/03/2025","605,16 mi","-288,58 mi","-294,32 mi","-69,69 mi","47,42 mi"
"18/03/2025","239,89 mi","-0,79 mi","-283,65 mi","-46,33 mi","90,87 mi"
"17/03/2025","647,55 mi","-124,79 mi","-300,12 mi","-277,98 mi","55,34 mi"
"14/03/2025","1.540,94 mi","-833,23 mi","-847,86 mi","65,11 mi","75,03 mi"
"13/03/2025","860,47 mi","-659,22 mi","-221,46 mi","22,88 mi","-2,67 mi"
"12/03/2025","-544,60 mi","349,57 mi","139,37 mi","0,07 mi","55,60 mi"
"11/03/2025","-1.399,73 mi","980,34 mi","396,57 mi","-12,07 mi","34,88 mi"
"10/03/2025","-586,50 mi","77,93 mi","391,76 mi","-35,54 mi","152,35 mi"
"07/03/2025","182,24 mi","-248,90 mi","-111,00 mi","33,00 mi","144,67 mi"
"06/03/2025","-175,29 mi","-44,66 mi","153,98 mi","4,95 mi","61,02 mi"
"05/03/2025","-581,51 mi","396,12 mi","186,21 mi","-61,32 mi","60,51 mi"
"28/02/2025","-1.231,66 mi","384,01 mi","626,34 mi","40,79 mi","180,52 mi"
