;2025-11-27 10:00:00;2025-11-28 10:00:00;2025-12-01 10:00:00
UNIP6_open;59,45;60,15;60,51
UNIP6_high;61,82;62,54;61,32
UNIP6_low;59,45;60,15;59,75
UNIP6_close;60,09;60,49;60,06
UNIP6_volume;275500,0;397400,0;62200,0
BRAP4_open;19,15;19,2;19,51
BRAP4_high;19,19;19,56;19,51
BRAP4_low;19,0;19,11;19,36
BRAP4_close;19,06;19,43;19,4
BRAP4_volume;2100700,0;3501400,0;208600,0
POMO4_open;6,44;6,38;6,47
POMO4_high;6,49;6,47;6,48
POMO4_low;6,35;6,24;6,35
POMO4_close;6,37;6,47;6,36
POMO4_volume;10073000,0;16444300,0;995100,0
LOGG3_open;24,68;24,6;25,57
LOGG3_high;24,8;25,57;25,61
LOGG3_low;24,51;24,51;25,15
LOGG3_close;24,51;25,57;25,43
LOGG3_volume;418400,0;755500,0;40300,0
CMIG4_open;11,45;11,47;11,51
CMIG4_high;11,5;11,5;11,52
CMIG4_low;11,4;11,38;11,25
CMIG4_close;11,47;11,5;11,3
CMIG4_volume;3125300,0;8581200,0;1426900,0
ROMI3_open;8,14;8,22;8,2
ROMI3_high;8,32;8,34;8,28
ROMI3_low;8,11;8,2;8,2
ROMI3_close;8,17;8,2;8,26
ROMI3_volume;249600,0;153300,0;20400,0
FESA4_open;7,04;7,0;7,19
FESA4_high;7,07;7,18;7,19
FESA4_low;6,94;6,96;7,05
FESA4_close;7,0;7,18;7,08
FESA4_volume;514000,0;509700,0;93900,0
RANI3_open;8,46;8,69;8,73
RANI3_high;8,68;8,84;8,73
RANI3_low;8,44;8,62;8,61
RANI3_close;8,68;8,73;8,68
RANI3_volume;453300,0;722100,0;105000,0
PETR4_open;32,28;32,27;31,95
PETR4_high;32,4;32,31;31,97
PETR4_low;32,2;31,29;31,57
PETR4_close;32,4;31,79;31,65
PETR4_volume;16087400,0;60395900,0;5584000,0
TRIS3_open;8,8;8,7;8,89
TRIS3_high;8,85;8,9;8,92
TRIS3_low;8,67;8,7;8,75
TRIS3_close;8,78;8,89;8,84
TRIS3_volume;202200,0;261100,0;42500,0
