SETOR ECONÔMICO;SUBSETOR;SEGMENTO;LISTAGEM;SM
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;3R PETROLEUM;RRRP;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;COSAN       ;CSAN;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PET MANGUINH;RPMG;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETROBRAS   ;PETR;N2
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETRORECSA ;RECV;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;PETRORIO;PRIO;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;RAIZEN;RAIZ;N2
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;ULTRAPAR    ;UGPA;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;VIBRA;VBBR;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;;
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;LUPATECH    ;LUPA;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;OCEANPACT;OPCT;NM             
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;OSX BRASIL  ;OSXB;NM             
Materiais Básicos;Mineração;Minerais Metálicos;;
Materiais Básicos;Mineração;AURA 360;AURA;DR3
Materiais Básicos;Mineração;BRADESPAR   ;BRAP;N1             
Materiais Básicos;Mineração;CBA;CBAV;NM             
Materiais Básicos;Mineração;CSNMINERACAO;CMIN;N2            
Materiais Básicos;Mineração;LITEL       ;LTEL;MB             
Materiais Básicos;Mineração;LITELA;LTLA;MB             
Materiais Básicos;Mineração;VALE        ;VALE;NM             
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;;
Materiais Básicos;Siderurgia e Metalurgia;FERBASA     ;FESA;N1             
Materiais Básicos;Siderurgia e Metalurgia;GERDAU      ;GGBR;N1             
Materiais Básicos;Siderurgia e Metalurgia;GERDAU MET  ;GOAU;N1             
Materiais Básicos;Siderurgia e Metalurgia;SID NACIONAL;CSNA;
Materiais Básicos;Siderurgia e Metalurgia;USIMINAS    ;USIM;N1             
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;;
Materiais Básicos;Siderurgia e Metalurgia;MANGELS INDL;MGEL;
Materiais Básicos;Siderurgia e Metalurgia;PANATLANTICA;PATI;
Materiais Básicos;Siderurgia e Metalurgia;TEKNO       ;TKNO;
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;;
Materiais Básicos;Siderurgia e Metalurgia;PARANAPANEMA;PMAM;NM             
Materiais Básicos;Químicos;Petroquímicos;;
Materiais Básicos;Químicos;BRASKEM     ;BRKM;N1             
Materiais Básicos;Químicos;DEXXOS PAR;DEXP;N1             
Materiais Básicos;Químicos;Fertilizantes e Defensivos;;
Materiais Básicos;Químicos;FER HERINGER;FHER;NM             
Materiais Básicos;Químicos;NUTRIPLANT  ;NUTR;MA             
Materiais Básicos;Químicos;VITTIA;VITT;NM             
Materiais Básicos;Químicos;Químicos Diversos;;
Materiais Básicos;Químicos;CRISTAL;CRPG;
Materiais Básicos;Químicos;UNIPAR      ;UNIP;
Materiais Básicos;Madeira e Papel;Madeira;;
Materiais Básicos;Madeira e Papel;DEXCO;DXCO;NM             
Materiais Básicos;Madeira e Papel;EUCATEX     ;EUCA;N1             
Materiais Básicos;Madeira e Papel;Papel e Celulose;;
Materiais Básicos;Madeira e Papel;KLABIN S/A  ;KLBN;N2
Materiais Básicos;Madeira e Papel;MELHOR SP   ;MSPA;
Materiais Básicos;Madeira e Papel;SUZANO HOLD ;NEMO;
Materiais Básicos;Madeira e Papel;SUZANO S.A.;SUZB;NM             
Materiais Básicos;Embalagens;Embalagens;;
