TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;72,81;0,650000;8,86;91,88;0,79;71.781,26;1,68;8,43;-0,63;432.677.384,28;17.274,00;Passiva;4.709.082,00
AFHI11;99,70;1,000000;12,72;96,43;1,03;901.427,56;3,69;;;322.360.025,56;26.665,00;Ativa;3.343.095,00
AIEC11;55,33;1,330000;16,57;95,16;0,58;846.203,74;2,65;8,80;-16,01;459.168.601,98;16.416,00;Ativa;4.824.987,00
ALMI11;660,00;0,371133;0,00;2.039,72;0,32;96.588,50;3,34;;-20,73;226.770.229,25;2.260,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;8,80;0,900000;21,91;87,42;0,10;254.916,56;6,45;;;132.710.343,15;5.416,00;Ativa;1.518.054,00
ALZR11;119,80;0,825000;8,18;106,95;1,12;1.583.484,85;21,34;10,04;-1,72;1.054.548.638,60;148.351,00;Ativa;9.860.406,00
ANCR11B;3.221,00;42,077240;1,96;3.941,72;0,82;4.762,67;0,84;;-5,36;1.873.564.695,21;62,00;Ativa;475.316,00
APTO11;9,74;0,090000;12,36;10,32;0,94;37.009,74;15,20;;;41.413.353,35;9.874,00;Ativa;4.012.857,00
APXM11;99,99;0,600597;1,97;95,98;1,04;949.511,70;15,47;;;168.932.126,41;321,00;;1.760.000,00
AQLL11;385,03;;0,00;975,20;0,39;;0,04;;-0,43;142.201.961,38;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;1,27;0,005900;3,47;1,06;1,20;75.632,31;1,18;;;178.642.329,69;52,00;Ativa;167.926.831,00
ARRI11;8,96;0,100000;13,73;8,97;1,00;243.523,70;1,45;-6,17;-0,66;117.062.693,88;27.852,00;Ativa;13.056.237,00
ARXD11;97,50;1,000000;10,36;98,84;0,99;27.887,88;4,03;;;64.727.873,05;557,00;Ativa;654.895,00
ASMT11;55,00;0,770000;2,80;84,91;0,65;12.963,70;0,75;;;86.381.880,18;509,00;Ativa;1.017.316,00
ASRF11;10.092,00;256,328699;2,54;10.135,55;1,00;30.276,00;4,19;;;24.325.324,36;56,00;Ativa;2.400,00
ATCR11;0,00;5,601011;0,00;82,59;;;7,67;;;76.717.810,00;33,00;Ativa;928.908,00
ATSA11;56,29;0,050000;0,18;81,79;0,69;1.183,25;1,39;1,98;-18,76;143.217.097,46;283,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;1.325,79;;;0,41;;;213.129.522,64;2,00;Passiva;160.757,00
AURB11;95,00;0,200000;5,05;82,90;1,15;2.502.323,80;0,77;;;73.000.363,24;5,00;Ativa;880.560,00
BARI11;83,90;0,690000;11,16;96,23;0,87;741.123,93;9,74;-14,53;-8,85;445.948.564,00;37.979,00;Ativa;4.634.191,00
BBFI11B;1.190,00;7,433438;13,57;2.147,98;0,55;280.887,85;8,10;-21,71;-17,59;279.236.813,63;17.393,00;Passiva;130.000,00
