TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,25;;-3,71;0,96;0,36;30,10;1,60;-22,81;52,75;93,65;40,90;0,75;0,85;-4,36;-0,46;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;990.699,38;8,58;-2,22;-0,04;975.915.732,00
ABCB4;24,30;6,49;5,94;1,01;0,10;25,50;17,06;15,50;5,40;5,40;;;0,92;-2,81;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;15.270.693,08;24,15;4,09;-0,32;5.757.547.132,80
ABEV3;13,07;5,59;13,65;2,28;1,49;50,30;22,59;18,29;11,05;10,31;-0,75;-0,15;2,50;55,55;-2,05;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;234.016.921,92;5,73;0,96;0,90;205.902.601.021,88
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,79;;-8,97;1,20;0,26;12,62;9,03;-3,39;3,37;6,88;3,51;1,26;0,30;1,20;-0,79;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;4.687.446,50;0,66;-0,09;-0,04;981.499.107,07
AESB3;10,61;;40,47;1,43;0,32;35,54;28,78;4,90;6,89;16,85;9,96;2,06;1,98;19,55;-0,39;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;32.026.125,54;7,43;0,26;-0,60;6.386.448.769,71
AFLT3;8,10;3,24;16,68;1,95;1,63;57,31;45,58;44,72;16,36;15,99;-0,38;-0,05;7,46;16,75;-2,03;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;5.877,53;4,15;0,49;-0,23;510.986.070,00
AGRO3;24,71;13,00;9,89;1,15;0,72;30,65;20,17;20,86;10,23;12,08;1,85;0,21;2,06;3,54;-1,18;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;6.806.638,88;21,40;2,50;-0,23;2.537.307.901,24
AGXY3;2,79;1,42;-1,89;0,47;0,06;12,31;3,90;-2,43;1,18;3,77;2,59;1,03;0,05;2,09;-0,28;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;413.111,50;6,00;-1,48;-0,01;476.601.719,31
AHEB3;15,50;;1,36;7,93;0,36;33,84;21,93;17,66;1,10;1,07;-0,02;-0,17;0,24;2,31;-0,63;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;3.100,00;1,95;11,39;0,00;132.581.335,87
AHEB5;16,61;;1,46;8,50;0,38;33,84;21,93;17,66;1,18;1,07;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;2.490,25;1,95;11,39;0,00;132.581.335,87
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,07;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;132.581.335,87
ALLD3;7,10;6,80;8,70;0,43;0,19;12,55;3,39;1,31;3,37;4,65;1,28;0,16;0,11;0,66;-0,62;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;218.730,92;16,66;0,82;2,84;661.866.132,20
ALOS3;24,48;2,12;4,48;0,96;0,50;96,37;264,05;140,12;2,38;2,10;-0,28;-0,11;6,28;13,70;-0,56;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;109.100.567,54;25,62;5,46;0,00;14.049.975.532,32
