TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;68,72;0,500000;8,25;91,86;0,75;62.131,77;1,53;13,18;-3,10;432.552.807,00;17.906,00;Passiva;4.709.082,00
AFHI11;97,50;1,050000;12,94;95,95;1,02;1.184.391,54;2,10;;;289.711.187,37;22.313,00;Ativa;3.019.453,00
AIEC11;66,35;0,760000;13,70;94,70;0,70;794.706,58;2,47;9,48;;456.945.283,72;15.088,00;Ativa;4.824.987,00
ALMI11;734,99;0,371133;0,00;2.030,94;0,36;43.365,96;2,24;;-14,60;225.793.787,83;2.367,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;92,00;0,709000;12,16;92,47;0,99;210.890,04;4,39;;;63.914.467,84;3.772,00;Ativa;691.192,00
ALZR11;117,13;0,825000;12,35;106,44;1,10;2.066.203,85;30,00;30,79;-5,63;1.049.505.903,99;139.441,00;Ativa;9.860.406,00
ANCR11B;3.466,00;42,077240;2,95;3.617,53;0,96;3.466,00;1,41;;;1.719.470.359,03;62,00;Ativa;475.316,00
APTO11;9,88;0,100000;12,41;10,50;0,94;49.230,73;5,17;;;42.128.729,72;8.563,00;Ativa;4.012.857,00
APXM11;118,75;;0,00;95,10;1,25;191.744,06;16,67;;;167.379.884,46;255,00;;1.760.000,00
AQLL11;385,03;;0,00;981,89;0,39;;0,07;;;143.176.703,64;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,004300;0,00;1,07;;;0,49;;;172.335.466,72;51,00;Ativa;161.251.790,00
ARRI11;8,60;0,100000;15,66;9,00;0,96;275.582,35;2,49;3,73;1,72;117.478.338,91;27.459,00;Ativa;13.056.237,00
ARXD11;102,00;1,100000;5,88;101,48;1,01;2.945,70;2,37;;;49.935.288,14;63,00;Ativa;492.050,00
ASMT11;48,95;0,770000;9,44;84,24;0,58;15.215,84;2,65;;;85.699.208,49;495,00;Ativa;1.017.316,00
ASRF11;0,00;256,328699;0,00;9.997,23;;;100,03;;;23.993.347,80;55,00;Ativa;2.400,00
ATCR11;0,00;0,302644;0,00;85,01;;;0,49;;;78.963.770,18;33,00;Ativa;928.908,00
ATSA11;57,40;0,050000;0,52;81,87;0,70;2.482,14;1,48;1,98;-19,97;143.373.897,92;278,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;587,71;;;1,86;;;94.479.026,76;2,00;Passiva;160.757,00
AURB11;0,00;0,400000;0,00;82,94;;;1,60;;;73.036.842,34;5,00;Ativa;880.560,00
BARI11;84,14;0,600000;12,80;97,37;0,86;705.727,50;6,18;-11,08;-7,38;451.240.748,31;38.446,00;Ativa;4.634.191,00
BBFI11B;991,00;7,425908;24,15;2.147,67;0,46;183.821,27;7,95;-8,01;-25,81;279.197.329,42;8.141,00;Passiva;130.000,00
BBFO11;73,89;0,620000;11,03;82,39;0,90;274.799,23;1,13;;;329.867.149,46;5.654,00;Passiva;4.003.900,00
BBIM11;0,00;0,100000;0,00;31,36;;;2,50;-22,05;;32.454.158,63;20,00;Ativa;1.035.000,00
BBPO11;96,23;0,900000;11,32;99,83;0,96;1.866.351,00;3,76;-5,09;-11,02;1.589.187.534,13;74.552,00;Passiva;15.919.690,00
BBRC11;116,84;1,130000;10,61;108,02;1,08;122.870,23;5,02;4,62;-7,83;171.757.745,92;9.608,00;Passiva;1.590.000,00
BCFF11;75,00;0,560000;8,94;77,46;0,97;3.150.569,19;4,26;3,51;-6,18;1.950.882.562,14;302.111,00;Ativa;25.186.378,00
BCIA11;101,52;0,830000;9,25;110,12;0,92;817.488,38;3,59;7,12;-7,52;409.523.791,73;18.376,00;Ativa;3.719.038,00
BCRI11;70,99;0,800000;14,81;99,06;0,72;635.541,15;5,95;-8,45;-13,14;619.928.797,11;48.250,00;Ativa;6.257.873,00
BICE11;980,00;7,880000;13,43;985,70;0,99;27.531,00;7,57;;;89.018.475,76;115,00;Ativa;90.310,00
BICR11;87,11;0,520000;11,55;101,80;0,86;1.204,05;18,18;43,70;-4,50;50.897.643,19;523,00;Ativa;500.000,00
BIME11;7,59;0,080000;12,78;8,83;0,86;52.254,73;5,38;;;51.644.433,24;8.730,00;Ativa;5.845.602,00
BIPD11;0,00;10,380000;0,00;991,66;;;7,25;;;48.311.723,30;110,00;Ativa;48.718,00
BLCA11;128,00;0,570000;5,30;136,13;0,94;1.072,69;3,98;;;217.802.295,64;214,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;1,12;111,74;0,81;103.127,50;1,06;;-3,65;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;82,45;0,790000;12,39;100,37;0,82;12.176,17;10,75;;;40.097.779,50;446,00;Ativa;399.500,00
BLMG11;62,65;0,700000;14,68;87,59;0,72;549.044,65;1,06;;;333.768.702,70;13.661,00;Ativa;3.810.588,00
BLMO11;18.898,00;102,000000;4,08;33.385,52;0,57;228.376,67;2,29;;;126.764.811,09;93,00;Ativa;3.797,00
BLMR11;7,24;0,060000;11,05;8,12;0,89;394.819,81;0,86;;;207.511.287,43;19.089,00;Ativa;25.541.630,00
BLUR11;100,00;1,030000;12,36;95,34;1,05;1.785,07;3,84;;;8.580.360,32;103,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;472,16;;;1,12;;;67.848.697,54;12,00;Passiva;143.700,00
BMLC11;106,01;0,760000;11,39;110,81;0,96;30.245,42;17,32;20,47;4,38;110.629.236,31;1.505,00;Ativa;998.405,00
BNFS11;122,25;1,490392;14,52;91,78;1,33;131.509,35;6,35;12,49;-0,61;64.243.804,66;4.627,00;Ativa;700.000,00
BPFF11;72,89;0,620000;10,32;78,35;0,93;353.385,58;5,55;4,50;-3,88;351.989.535,10;18.670,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.909,97;;;3,49;;;317.118.954,13;114,00;Ativa;32.000,00
BPML11;75,00;0,270465;2,32;132,41;0,57;148.741,23;2,31;;-11,88;570.021.556,31;1.512,00;Passiva;4.305.079,00
BPRP11;97,00;0,900000;11,01;109,15;0,89;2.839,50;0,21;4,80;-7,99;147.332.908,30;174,00;Passiva;1.349.837,00
BRCO11;122,00;0,870000;7,56;120,85;1,01;3.291.181,54;4,06;8,91;-0,66;1.785.988.780,45;113.767,00;Ativa;14.778.781,00
BRCR11;62,49;0,450000;8,90;100,64;0,62;1.700.287,23;0,81;-0,48;-11,67;2.680.791.488,63;155.212,00;Ativa;26.638.202,00
BREV11;104,75;0,570000;7,78;117,72;0,89;125.908,79;0,52;9,97;-0,08;113.858.045,70;267,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;76,65;1,13;;15,61;;;141.162.073,21;11,00;Ativa;1.841.677,00
BRIM11;1.030,22;28,910000;17,23;1.152,74;0,89;;4,16;;;143.097.842,63;221,00;Ativa;124.137,00
BRIP11;950,01;6,030000;12,88;1.179,97;0,81;1.583,33;0,77;;;254.255.052,75;253,00;Ativa;215.475,00
BRIX11;0,00;;0,00;995,80;;;5,09;;;89.153.184,35;54,00;Ativa;89.529,00
BRLA11;147,95;1,425000;8,94;156,79;0,94;169.913,25;0,05;;;495.911.210,39;275,00;Passiva;3.162.838,00
BROF11;67,04;0,530000;3,63;106,18;0,63;999.126,54;0,42;;;1.232.813.903,40;7.200,00;Ativa;11.610.812,00
BROL11;0,00;;0,00;;;;;;;;;;5.500.000,00
BRSE11;0,00;;0,00;2.481,72;;;238,49;;;4.963.443,62;12,00;Ativa;2.000,00
BTAL11;89,74;0,730000;10,75;104,59;0,86;874.871,73;2,70;;;625.743.281,02;44.569,00;Ativa;5.982.736,00
BTCI11;9,65;0,101000;12,84;10,30;0,94;2.187.592,35;12,80;11,14;-54,79;1.024.811.117,16;98.616,00;Ativa;99.521.172,00
BTCR11;88,00;0,900000;3,13;95,27;0,92;652.774,65;8,00;32,78;0,57;458.252.683,73;16.934,00;Ativa;4.810.097,00
BTLG11;104,58;0,760000;8,53;98,16;1,07;6.725.351,08;4,63;6,43;-0,38;2.067.981.417,09;224.480,00;Ativa;21.066.892,00
BTRA11;73,05;0,560000;12,98;119,02;0,62;637.137,58;8,01;;;400.439.049,61;21.761,00;Ativa;3.364.559,00
BTSG11;139,08;0,920000;7,57;137,74;1,01;1.321,00;0,82;;;106.748.954,70;64,00;Ativa;775.015,00
BTSI11;104,00;0,730000;6,21;122,02;0,85;45.700,00;0,06;;;257.872.154,20;107,00;Ativa;2.113.342,00
BTWR11;107,00;0,430000;6,04;111,90;0,96;428,00;0,99;;;90.558.210,00;66,00;Ativa;809.269,00
BVAR11;0,00;13,040000;0,00;1.055,35;;;0,93;10,61;;660.164.096,37;69,00;Passiva;625.540,00
BZEL11;0,00;5,092421;0,00;117,42;;;0,04;;;415.436.735,50;3,00;Ativa;3.538.046,00
BZLI11;17,00;;0,00;10,62;1,60;871,25;0,09;;4,26;448.962.938,40;19,00;Ativa;42.280.937,00
CACR11;104,71;1,430000;16,85;103,39;1,01;628.653,62;27,82;12,17;-1,63;186.873.763,85;11.308,00;;1.807.434,00
CARE11;1,86;0,008385;0,00;8,32;0,22;9.467,31;0,05;;-23,94;297.666.193,03;12.008,00;Ativa;35.769.919,00
