TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,68;;-3,72;1,23;0,42;30,29;-1,09;-25,30;-86,24;-158,79;-72,55;1,03;0,94;-3,31;-0,50;0,55;-33,11;-11,37;-1,98;0,34;0,65;0,45;0,13;;5.525.896,19;7,32;-2,42;-0,01;1.064.635.344,00
ABCB4;20,43;7,59;5,94;0,86;0,09;31,62;25,25;19,35;4,55;4,55;;;1,15;3,77;-0,09;1,50;14,50;1,45;;0,10;0,90;0,07;18,70;12,95;15.433.304,47;23,98;3,48;0,41;4.668.760.936,70
ABEV3;13,27;5,66;14,87;2,50;1,59;49,95;21,50;17,26;11,94;11,47;-0,47;-0,10;2,57;1.049,56;-2,15;1,01;16,78;10,71;18,20;0,64;0,35;0,62;10,72;14,46;361.433.756,53;5,40;0,91;2,74;212.361.672.668,32
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,91;;-6,61;0,84;0,22;13,03;9,37;-3,59;2,54;5,92;3,38;1,11;0,24;0,93;-0,57;1,63;-12,65;-3,35;9,83;0,27;0,73;0,93;;;6.945.701,53;1,10;-0,14;0,00;704.916.379,52
AESB3;11,54;;48,08;1,58;0,35;34,55;27,40;4,68;8,21;18,03;9,82;1,89;2,25;4,14;-0,45;1,64;3,29;0,73;4,29;0,22;0,73;0,16;;;22.940.709,69;7,32;0,24;-0,69;6.970.318.261,38
AFLT3;8,20;3,23;13,09;1,89;1,67;59,73;49,97;48,96;12,83;12,36;-0,47;-0,07;6,41;8,82;-2,21;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;13.514,97;4,30;0,62;-0,21;513.509.458,00
AGRO3;28,05;11,48;10,75;1,31;0,82;30,76;21,55;20,98;10,47;12,13;1,67;0,21;2,26;4,02;-1,34;2,14;12,22;7,65;8,56;0,63;0,37;0,36;27,22;16,28;16.301.685,08;21,46;2,62;-0,22;2.887.031.625,60
AGXY3;4,75;0,81;-4,27;0,80;0,10;12,38;3,90;-1,77;1,94;4,08;2,15;0,88;0,08;1,72;-0,46;1,08;-18,62;-2,24;13,29;0,12;0,88;1,27;;;296.603,89;6,18;-1,15;0,00;838.750.695,99
AHEB3;18,95;;2,16;18,88;0,44;35,19;21,45;15,93;1,60;1,28;-0,32;-3,79;0,34;3,30;-0,76;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;2.052,00;1,00;8,77;-0,01;161.585.791,18
AHEB5;16,59;;1,89;16,53;0,39;35,19;21,45;15,93;1,41;1,28;-0,32;-3,79;0,30;2,89;-0,67;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;2.203,00;1,00;8,77;0,00;161.585.791,18
AHEB6;17,01;;1,94;16,94;0,40;35,19;21,45;15,93;1,44;1,28;-0,32;-3,79;0,31;2,96;-0,69;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;1.775,50;1,00;8,77;0,00;161.585.791,18
ALLD3;6,39;5,50;9,56;0,39;0,17;13,77;3,60;1,16;3,09;4,29;1,20;0,15;0,11;0,61;-0,54;1,65;4,10;1,75;7,52;0,43;0,57;1,51;14,71;27,14;200.362,03;16,44;0,67;-0,18;600.340.548,08
ALPA3;8,50;;-25,48;1,09;0,75;42,24;-7,11;-5,67;-20,32;-23,48;-3,27;0,18;1,45;3,31;-1,20;2,50;-4,30;-2,94;-6,09;0,68;0,32;0,52;2,36;;38.490,83;7,77;-0,33;0,18;5.781.939.871,25
ALPA4;8,28;;-25,21;1,08;0,74;42,24;-7,11;-5,67;-20,10;-23,48;-3,27;0,18;1,43;3,28;-1,19;2,50;-4,30;-2,94;-6,09;0,68;0,32;0,52;2,36;;55.654.691,58;7,77;-0,33;0,18;5.781.939.871,25
ALPK3;4,50;;-7,53;2,63;0,36;29,43;9,95;-10,37;7,85;17,73;9,89;3,32;0,78;-3,32;-0,43;0,60;-34,95;-4,79;6,20;0,14;0,86;0,46;3,17;;1.048.664,78;1,71;-0,60;0,26;964.919.353,50
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALSO3;22,99;2,21;4,21;0,92;0,48;101,46;315,02;172,55;2,31;2,01;-0,29;-0,12;7,26;10,19;-0,53;1,87;21,84;11,36;26,95;0,52;0,44;0,07;25,65;87,46;100.856.143,17;25,57;5,58;0,00;13.487.517.361,50
ALUP11;29,45;5,65;11,91;1,21;0,32;76,94;72,93;23,99;3,92;7,85;3,93;1,22;2,86;2,93;-0,40;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;20.757.372,83;24,49;2,50;-0,41;9.054.377.055,28
ALUP3;9,80;5,61;12,00;1,22;0,32;76,94;72,93;23,99;3,95;7,85;3,93;1,22;2,88;2,95;-0,40;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;117.075,47;8,16;0,83;-0,41;9.054.377.055,28
ALUP4;9,81;5,62;11,98;1,22;0,32;76,94;72,93;23,99;3,94;7,85;3,93;1,22;2,87;2,95;-0,40;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;235.051,56;8,16;0,83;-0,41;9.054.377.055,28
AMAR3;0,63;;-0,44;0,72;0,08;37,33;-10,87;-19,59;-0,79;-4,59;-3,80;3,46;0,09;-53,32;-0,15;1,00;-163,84;-18,69;-18,84;0,11;0,89;0,95;-0,89;;3.882.926,97;0,89;-1,45;0,00;219.419.463,68
AMBP3;21,36;0,61;-21,63;2,33;0,23;23,53;17,72;-2,54;3,10;8,50;5,40;4,05;0,55;0,78;-0,43;2,75;-10,75;-1,06;7,48;0,10;0,84;0,42;83,52;;24.992.867,28;9,44;-1,02;0,11;2.480.065.512,48
AMER3;0,77;;17,05;0,05;0,02;30,68;4,18;0,15;0,62;8,27;7,64;0,59;0,03;0,08;-0,03;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;8.934.093,03;16,74;0,05;-0,44;731.048.897,43
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;0,00;1.651.867.985,68
